mode,prompt_type,id_,p1_sim_score,p2_sim_score,detected_gen
easy,simple,0,0.9524167,,1
easy,simple,1,0.9524167,,1
easy,simple,2,0.94940585,,1
easy,simple,3,0.94940585,,1
easy,simple,4,0.97488976,,1
easy,simple,5,0.97488976,,1
easy,simple,6,0.95161736,,1
easy,simple,7,0.95161736,,1
easy,simple,8,0.9658968,,1
easy,simple,9,0.9658968,,1
easy,simple,10,0.97274345,,1
easy,simple,11,0.97274345,,1
easy,simple,12,,,0
easy,simple,13,,,0
easy,simple,14,0.96744996,,1
easy,simple,15,0.96744996,,1
easy,simple,16,0.95352226,,4
easy,simple,17,0.95352226,,4
easy,simple,18,0.96955466,,1
easy,simple,19,0.96955466,,1
easy,simple,20,0.9758066,,1
easy,simple,21,0.9758066,,1
easy,simple,22,0.97235376,,1
easy,simple,23,0.97235376,,1
easy,simple,24,0.9495134,,1
easy,simple,25,0.9495134,,1
easy,simple,26,0.9743519,,1
easy,simple,27,0.9743519,,1
easy,simple,28,0.91485596,,1
easy,simple,29,0.91485596,,1
easy,simple,30,0.9124753,,1
easy,simple,31,0.9124753,,1
easy,simple,32,,,0
easy,simple,33,,,0
easy,simple,34,,,0
easy,simple,35,,,0
easy,simple,36,0.96301407,,1
easy,simple,37,0.96301407,,1
easy,simple,38,0.9595344,,1
easy,simple,39,0.9595344,,1
easy,simple,40,0.9811628,,1
easy,simple,41,0.9811628,,1
easy,simple,42,0.97719485,,1
easy,simple,43,0.97719485,,1
easy,simple,44,0.9755081,,1
easy,simple,45,0.9755081,,1
easy,simple,46,0.9803654,,12
easy,simple,47,0.9803654,,12
easy,simple,48,0.96117693,,1
easy,simple,49,0.96117693,,1
easy,simple,50,0.9774013,,1
easy,simple,51,0.9774013,,1
easy,action+layout,0,0.9596858,,1
easy,action+layout,1,,,0
easy,action+layout,2,,,0
easy,action+layout,3,,,0
easy,action+layout,4,0.9774957,,1
easy,action+layout,5,0.964027,,1
easy,action+layout,6,,,0
easy,action+layout,7,0.96823454,,1
easy,action+layout,8,0.978724,,1
easy,action+layout,9,0.9774275,,1
easy,action+layout,10,0.8320905,,1
easy,action+layout,11,0.93517756,,1
easy,action+layout,12,,,0
easy,action+layout,13,,,0
easy,action+layout,14,,,0
easy,action+layout,15,0.9300371,,1
easy,action+layout,16,0.963552,,11
easy,action+layout,17,0.7491992,,6
easy,action+layout,18,,,0
easy,action+layout,19,0.96403587,,1
easy,action+layout,20,0.9393589,,1
easy,action+layout,21,0.95188767,,1
easy,action+layout,22,,,0
easy,action+layout,23,0.9780608,,1
easy,action+layout,24,0.7343812,,4
easy,action+layout,25,,,0
easy,action+layout,26,0.9659311,,1
easy,action+layout,27,,,0
easy,action+layout,28,0.9443136,,1
easy,action+layout,29,0.9568414,,1
easy,action+layout,30,,,0
easy,action+layout,31,,,0
easy,action+layout,32,,,0
easy,action+layout,33,0.96474963,,2
easy,action+layout,34,0.8999478,,1
easy,action+layout,35,,,0
easy,action+layout,36,0.95017886,,1
easy,action+layout,37,0.972316,,1
easy,action+layout,38,,,0
easy,action+layout,39,0.88369775,,1
easy,action+layout,40,0.9815204,,1
easy,action+layout,41,0.9750896,,1
easy,action+layout,42,0.98015785,,1
easy,action+layout,43,0.987686,,1
easy,action+layout,44,0.9819979,,1
easy,action+layout,45,0.790886,,1
easy,action+layout,46,0.7699647,,18
easy,action+layout,47,0.7816064,,5
easy,action+layout,48,0.95839566,,1
easy,action+layout,49,0.9736452,,34
easy,action+layout,50,,,0
easy,action+layout,51,0.9802969,,1
easy,action+expression,0,0.96423274,,1
easy,action+expression,1,0.96337605,,1
easy,action+expression,2,0.95100284,,1
easy,action+expression,3,0.91891885,,1
