mode,prompt_type,id_,p1_sim_score,p2_sim_score,detected_gen
easy,simple,0,0.9646121,,1
easy,simple,1,0.9646121,,1
easy,simple,2,0.9914652,,1
easy,simple,3,0.9914652,,1
easy,simple,4,,,0
easy,simple,5,,,0
easy,simple,6,,,0
easy,simple,7,,,0
easy,simple,8,0.97277653,,1
easy,simple,9,0.97277653,,1
easy,simple,10,0.9777427,,3
easy,simple,11,0.9777427,,3
easy,simple,12,0.96479243,,1
easy,simple,13,0.96479243,,1
easy,simple,14,0.968442,,1
easy,simple,15,0.968442,,1
easy,simple,16,0.9752345,,1
easy,simple,17,0.9752345,,1
easy,simple,18,0.9481275,,1
easy,simple,19,0.9481275,,1
easy,simple,20,0.979792,,1
easy,simple,21,0.979792,,1
easy,simple,22,0.98496693,,1
easy,simple,23,0.98496693,,1
easy,simple,24,0.98156774,,1
easy,simple,25,0.98156774,,1
easy,simple,26,0.95012414,,1
easy,simple,27,0.95012414,,1
easy,simple,28,0.7578082,,1
easy,simple,29,0.7578082,,1
easy,simple,30,,,0
easy,simple,31,,,0
easy,simple,32,0.9742367,,1
easy,simple,33,0.9742367,,1
easy,simple,34,0.9570137,,1
easy,simple,35,0.9570137,,1
easy,simple,36,0.9291754,,1
easy,simple,37,0.9291754,,1
easy,simple,38,0.89989865,,1
easy,simple,39,0.89989865,,1
easy,simple,40,0.9468913,,1
easy,simple,41,0.9468913,,1
easy,simple,42,0.97064,,1
easy,simple,43,0.97064,,1
easy,simple,44,0.8886838,,1
easy,simple,45,0.8886838,,1
easy,simple,46,0.93497795,,2
easy,simple,47,0.93497795,,2
easy,simple,48,0.99300313,,1
easy,simple,49,0.99300313,,1
easy,simple,50,0.9815092,,1
easy,simple,51,0.9815092,,1
easy,action+layout,0,0.96371365,,1
easy,action+layout,1,0.97663325,,1
easy,action+layout,2,,,0
easy,action+layout,3,0.9540766,,1
easy,action+layout,4,0.97075236,,1
easy,action+layout,5,,,0
easy,action+layout,6,,,0
easy,action+layout,7,,,0
easy,action+layout,8,0.9752757,,1
easy,action+layout,9,0.9808023,,1
easy,action+layout,10,0.9222091,,1
easy,action+layout,11,0.9745173,,1
easy,action+layout,12,0.9462962,,1
easy,action+layout,13,0.9737574,,1
easy,action+layout,14,0.96381885,,1
easy,action+layout,15,,,0
easy,action+layout,16,0.9757599,,4
easy,action+layout,17,0.97038823,,1
easy,action+layout,18,0.91560644,,9
easy,action+layout,19,0.967742,,1
easy,action+layout,20,,,0
easy,action+layout,21,0.9535683,,1
easy,action+layout,22,0.9622284,,1
easy,action+layout,23,0.97028035,,1
easy,action+layout,24,0.9608275,,1
easy,action+layout,25,0.97003335,,1
easy,action+layout,26,0.9534083,,1
easy,action+layout,27,0.9780046,,1
easy,action+layout,28,,,0
easy,action+layout,29,0.86140674,,1
easy,action+layout,30,,,0
easy,action+layout,31,0.9344743,,1
easy,action+layout,32,,,0
easy,action+layout,33,0.95684123,,1
easy,action+layout,34,0.9391631,,1
easy,action+layout,35,,,0
easy,action+layout,36,0.9059926,,1
easy,action+layout,37,0.853382,,1
easy,action+layout,38,0.9298726,,1
easy,action+layout,39,0.9474272,,1
easy,action+layout,40,0.9145756,,2
easy,action+layout,41,0.93311584,,1
easy,action+layout,42,0.8294366,,1
easy,action+layout,43,0.9286243,,1
easy,action+layout,44,0.9001387,,1
easy,action+layout,45,0.8643606,,1
easy,action+layout,46,0.9585095,,1
easy,action+layout,47,,,0
easy,action+layout,48,0.9802153,,1
easy,action+layout,49,0.9809957,,1
easy,action+layout,50,0.9624693,,1
easy,action+layout,51,0.9506173,,1
easy,action+expression,0,0.9524498,,1
easy,action+expression,1,0.9706567,,1
easy,action+expression,2,0.9736904,,1
