mode,prompt_type,id_,p1_sim_score,p2_sim_score,detected_gen
easy,simple,0,0.956844,,3
easy,simple,1,0.95908487,,3
easy,simple,2,0.9561236,,1
easy,simple,3,0.95806956,,1
easy,simple,4,0.93956834,,1
easy,simple,5,0.9393827,,1
easy,simple,6,,,0
easy,simple,7,,,0
easy,simple,8,0.97815025,,15
easy,simple,9,0.97820425,,15
easy,simple,10,0.96055406,,1
easy,simple,11,0.9610977,,1
easy,simple,12,0.9770162,,1
easy,simple,13,0.9769814,,1
easy,simple,14,0.96069384,,4
easy,simple,15,0.96073943,,4
easy,simple,16,0.93840283,,5
easy,simple,17,0.93370926,,5
easy,simple,18,0.9678123,,3
easy,simple,19,0.967977,,3
easy,simple,20,0.94508934,,1
easy,simple,21,0.94502586,,1
easy,simple,22,0.97454756,,2
easy,simple,23,0.9744214,,1
easy,simple,24,0.9301258,,1
easy,simple,25,0.9330361,,1
easy,simple,26,0.9616698,,1
easy,simple,27,0.9615592,,1
easy,simple,28,0.9651018,,2
easy,simple,29,0.96506846,,2
easy,simple,30,,,0
easy,simple,31,,,0
easy,simple,32,,,0
easy,simple,33,,,0
easy,simple,34,0.965742,,1
easy,simple,35,0.96559465,,1
easy,simple,36,0.84866893,,2
easy,simple,37,0.86762404,,2
easy,simple,38,0.9285464,,1
easy,simple,39,0.9275969,,1
easy,simple,40,0.9600412,,1
easy,simple,41,0.972049,,1
easy,simple,42,0.9389349,,1
easy,simple,43,0.93879724,,1
easy,simple,44,0.9534798,,2
easy,simple,45,0.953393,,2
easy,simple,46,0.9203826,,2
easy,simple,47,0.92049915,,2
easy,simple,48,0.9634224,,1
easy,simple,49,0.9625759,,1
easy,simple,50,0.97415185,,1
easy,simple,51,0.9800594,,1
easy,action+layout,0,0.8631855,,2
easy,action+layout,1,0.91364,,4
easy,action+layout,2,0.94740427,,1
easy,action+layout,3,0.9521586,,1
easy,action+layout,4,,,0
easy,action+layout,5,,,0
easy,action+layout,6,,,0
easy,action+layout,7,,,0
easy,action+layout,8,0.89332557,,1
easy,action+layout,9,0.96238446,,2
easy,action+layout,10,0.9605151,,1
easy,action+layout,11,0.9287962,,3
easy,action+layout,12,0.956699,,1
easy,action+layout,13,0.94518703,,1
easy,action+layout,14,0.90594274,,1
easy,action+layout,15,0.91247034,,1
easy,action+layout,16,,,0
easy,action+layout,17,0.9321547,,5
easy,action+layout,18,0.7299144,,26
easy,action+layout,19,0.94651556,,5
easy,action+layout,20,,,0
easy,action+layout,21,0.95784086,,1
easy,action+layout,22,0.97192353,,1
easy,action+layout,23,0.47689974,,1
easy,action+layout,24,0.9369631,,1
easy,action+layout,25,0.9492971,,1
easy,action+layout,26,0.9543656,,1
easy,action+layout,27,0.9510481,,1
easy,action+layout,28,,,0
easy,action+layout,29,0.94848776,,1
easy,action+layout,30,,,0
easy,action+layout,31,,,0
easy,action+layout,32,,,0
easy,action+layout,33,0.9517534,,2
easy,action+layout,34,0.9513822,,1
easy,action+layout,35,0.90848744,,1
easy,action+layout,36,0.9221659,,1
