mode,prompt_type,id_,p1_sim_score,p2_sim_score,detected_gen
easy,simple,0,0.97473526,,2
easy,simple,1,0.97473526,,2
easy,simple,2,0.96569633,,1
easy,simple,3,0.96569633,,1
easy,simple,4,0.9749046,,2
easy,simple,5,0.9749046,,2
easy,simple,6,0.97686976,,2
easy,simple,7,0.97686976,,2
easy,simple,8,0.9883853,,1
easy,simple,9,0.9883853,,1
easy,simple,10,0.8843039,,1
easy,simple,11,0.8843039,,1
easy,simple,12,0.97260815,,1
easy,simple,13,0.97260815,,1
easy,simple,14,0.98442405,,1
easy,simple,15,0.98442405,,1
easy,simple,16,0.99080056,,1
easy,simple,17,0.99080056,,1
easy,simple,18,0.9575142,,2
easy,simple,19,0.9575142,,2
easy,simple,20,0.93738735,,2
easy,simple,21,0.93738735,,2
easy,simple,22,0.978998,,1
easy,simple,23,0.978998,,1
easy,simple,24,0.98619616,,1
easy,simple,25,0.98619616,,1
easy,simple,26,0.94357663,,3
easy,simple,27,0.94357663,,3
easy,simple,28,0.9750267,,2
easy,simple,29,0.9750267,,2
easy,simple,30,0.9853252,,3
easy,simple,31,0.9853252,,3
easy,simple,32,0.98620415,,1
easy,simple,33,0.98620415,,1
easy,simple,34,0.9730175,,1
easy,simple,35,0.9730175,,1
easy,simple,36,0.9931502,,4
easy,simple,37,0.9931502,,4
easy,simple,38,0.98342717,,1
easy,simple,39,0.98342717,,1
easy,simple,40,0.9859561,,1
easy,simple,41,0.9859561,,1
easy,simple,42,0.97528815,,4
easy,simple,43,0.97528815,,4
easy,simple,44,0.9230176,,1
easy,simple,45,0.9230176,,1
easy,simple,46,0.98377264,,1
easy,simple,47,0.98377264,,1
easy,simple,48,0.98412377,,1
easy,simple,49,0.98412377,,1
easy,simple,50,0.92026615,,1
easy,simple,51,0.92026615,,1
easy,action+layout,0,0.9862939,,1
easy,action+layout,1,0.98823184,,1
easy,action+layout,2,0.9437491,,1
easy,action+layout,3,0.9574462,,2
easy,action+layout,4,0.9721589,,3
easy,action+layout,5,0.9642995,,1
easy,action+layout,6,0.9873588,,1
easy,action+layout,7,0.9865532,,1
easy,action+layout,8,0.9846352,,1
easy,action+layout,9,0.98506343,,1
easy,action+layout,10,0.9326412,,1
easy,action+layout,11,0.9598428,,1
easy,action+layout,12,0.9616089,,1
easy,action+layout,13,0.9798143,,1
easy,action+layout,14,0.98370963,,1
easy,action+layout,15,0.989819,,1
easy,action+layout,16,0.9876412,,1
easy,action+layout,17,0.9833524,,1
easy,action+layout,18,0.95865065,,1
easy,action+layout,19,0.92101866,,1
easy,action+layout,20,0.9784676,,1
easy,action+layout,21,0.9796666,,3
easy,action+layout,22,0.9772131,,1
easy,action+layout,23,0.97411674,,2
easy,action+layout,24,0.9797914,,1
easy,action+layout,25,0.9860404,,1
easy,action+layout,26,0.9839691,,1
easy,action+layout,27,0.95043045,,1
easy,action+layout,28,0.94365644,,2
easy,action+layout,29,0.97232825,,4
easy,action+layout,30,0.9818254,,1
easy,action+layout,31,0.98223215,,1
easy,action+layout,32,0.980679,,2
easy,action+layout,33,0.98188585,,2
easy,action+layout,34,0.9614041,,1
easy,action+layout,35,0.94853896,,1
easy,action+layout,36,0.96930635,,3
easy,action+layout,37,0.9874194,,1
easy,action+layout,38,0.9883071,,1
easy,action+layout,39,0.99022657,,1
