mode,prompt_type,id_,p1_sim_score,p2_sim_score,detected_gen
easy,simple,0,0.95470387,,1
easy,simple,1,0.9560245,,1
easy,simple,2,0.9824616,,1
easy,simple,3,0.9822301,,1
easy,simple,4,0.9796665,,1
easy,simple,5,0.93921703,,1
easy,simple,6,0.9511431,,1
easy,simple,7,0.9577917,,1
easy,simple,8,0.97163916,,2
easy,simple,9,0.9607526,,2
easy,simple,10,0.96539086,,1
easy,simple,11,0.97563136,,1
easy,simple,12,0.98035276,,1
easy,simple,13,0.98164725,,1
easy,simple,14,0.9686869,,1
easy,simple,15,0.98143744,,3
easy,simple,16,0.9817022,,1
easy,simple,17,0.97356975,,2
easy,simple,18,0.98131263,,1
easy,simple,19,0.9704179,,1
easy,simple,20,0.97990614,,1
easy,simple,21,0.97996455,,1
easy,simple,22,0.9742558,,1
easy,simple,23,0.9890674,,1
easy,simple,24,0.9692787,,1
easy,simple,25,0.96521705,,1
easy,simple,26,0.97437376,,1
easy,simple,27,0.97893816,,1
easy,simple,28,0.96778387,,1
easy,simple,29,0.98311496,,1
easy,simple,30,0.96812356,,2
easy,simple,31,0.924593,,1
easy,simple,32,0.98113346,,1
easy,simple,33,0.9656864,,1
easy,simple,34,0.97958297,,1
easy,simple,35,0.9829203,,1
easy,simple,36,0.9862141,,1
easy,simple,37,0.9467523,,1
easy,simple,38,0.93638825,,1
easy,simple,39,0.9628698,,1
easy,simple,40,0.93656343,,1
easy,simple,41,0.96407914,,1
easy,simple,42,0.9817334,,1
easy,simple,43,0.9847996,,1
easy,simple,44,0.95925117,,1
easy,simple,45,0.9548697,,1
easy,simple,46,0.95773304,,6
easy,simple,47,0.9775703,,1
easy,simple,48,0.9664681,,2
easy,simple,49,0.9771763,,1
easy,simple,50,0.9720723,,2
easy,simple,51,0.9747511,,1
easy,action+layout,0,0.97126997,,1
easy,action+layout,1,0.9460333,,1
easy,action+layout,2,0.9762931,,1
easy,action+layout,3,0.95883405,,1
easy,action+layout,4,0.97727233,,2
easy,action+layout,5,0.9260496,,1
easy,action+layout,6,0.97381413,,1
easy,action+layout,7,,,0
easy,action+layout,8,0.9660186,,2
easy,action+layout,9,0.96177816,,2
easy,action+layout,10,0.9606594,,1
easy,action+layout,11,0.982692,,1
easy,action+layout,12,0.96395767,,2
easy,action+layout,13,0.9823058,,1
easy,action+layout,14,0.97495973,,1
easy,action+layout,15,0.9320667,,1
easy,action+layout,16,0.9711082,,1
easy,action+layout,17,0.97135943,,1
easy,action+layout,18,0.9287281,,1
easy,action+layout,19,0.9570138,,1
easy,action+layout,20,,,0
easy,action+layout,21,0.964011,,1
easy,action+layout,22,0.98781985,,1
easy,action+layout,23,0.9482394,,1
easy,action+layout,24,0.97335917,,1
easy,action+layout,25,0.98195714,,1
easy,action+layout,26,0.9694187,,1
easy,action+layout,27,0.9743587,,1
easy,action+layout,28,0.9898719,,1
easy,action+layout,29,0.9597953,,1
easy,action+layout,30,0.9752776,,2
easy,action+layout,31,0.93528324,,2
easy,action+layout,32,0.9385843,,1
easy,action+layout,33,0.9805795,,1
easy,action+layout,34,0.98014,,1
easy,action+layout,35,0.9736288,,2
easy,action+layout,36,0.98418087,,2
easy,action+layout,37,0.9689485,,1
easy,action+layout,38,0.963289,,2
easy,action+layout,39,0.874255,,2
easy,action+layout,40,0.985027,,1
easy,action+layout,41,0.9716219,,1
easy,action+layout,42,0.969056,,1
easy,action+layout,43,,,0
easy,action+layout,44,0.9498622,,1
easy,action+layout,45,0.987418,,1
easy,action+layout,46,,,0
easy,action+layout,47,,,0
easy,action+layout,48,0.95708203,,1
easy,action+layout,49,0.9219292,,7
easy,action+layout,50,0.98331374,,1
easy,action+layout,51,0.96046174,,1
easy,action+expression,0,0.9720102,,1
easy,action+expression,1,0.9727211,,1
easy,action+expression,2,0.92792326,,1
easy,action+expression,3,0.96866393,,1
easy,action+expression,4,0.97807,,1
easy,action+expression,5,0.976115,,1
easy,action+expression,6,0.954106,,1
easy,action+expression,7,0.94631004,,1
easy,action+expression,8,0.9736073,,1
easy,action+expression,9,0.9612301,,3
easy,action+expression,10,0.9374964,,1
easy,action+expression,11,0.97826326,,1
easy,action+expression,12,0.97810894,,1
easy,action+expression,13,0.96693385,,1
easy,action+expression,14,0.97749704,,1
easy,action+expression,15,0.95839226,,2
easy,action+expression,16,0.9592473,,1
easy,action+expression,17,0.98243207,,1
easy,action+expression,18,0.97082543,,1
easy,action+expression,19,0.9579527,,1
easy,action+expression,20,0.9906575,,1
easy,action+expression,21,0.987539,,1
easy,action+expression,22,0.95666814,,1
easy,action+expression,23,0.9816295,,1
easy,action+expression,24,0.9750779,,3
easy,action+expression,25,0.9775861,,4
easy,action+expression,26,0.9661249,,1
easy,action+expression,27,0.9601042,,1
easy,action+expression,28,0.97579294,,1
easy,action+expression,29,0.9822044,,1
easy,action+expression,30,0.9758053,,2
easy,action+expression,31,0.98753846,,1
easy,action+expression,32,0.98151696,,1
easy,action+expression,33,0.97605455,,1
easy,action+expression,34,0.9499199,,1
