mode,prompt_type,id_,p1_sim_score,p2_sim_score,detected_gen
easy,simple,0,,,0
easy,simple,1,0.9677783,,1
easy,simple,2,0.97779894,,1
easy,simple,3,0.9701345,,1
easy,simple,4,0.93234825,,1
easy,simple,5,0.97923994,,1
easy,simple,6,0.94073147,,1
easy,simple,7,,,0
easy,simple,8,0.9774509,,1
easy,simple,9,0.9576082,,1
easy,simple,10,0.9758511,,1
easy,simple,11,0.94416595,,1
easy,simple,12,0.96213603,,1
easy,simple,13,0.9477155,,1
easy,simple,14,0.9735529,,1
easy,simple,15,0.9402131,,1
easy,simple,16,0.9518058,,1
easy,simple,17,0.9548363,,1
easy,simple,18,0.9798772,,1
easy,simple,19,0.8949122,,1
easy,simple,20,,,0
easy,simple,21,0.9209236,,1
easy,simple,22,0.9690186,,1
easy,simple,23,,,0
easy,simple,24,0.9753024,,1
easy,simple,25,0.96478033,,1
easy,simple,26,,,0
easy,simple,27,0.33476168,,1
easy,simple,28,0.9635077,,1
easy,simple,29,,,0
easy,simple,30,,,0
easy,simple,31,0.89936614,,1
easy,simple,32,,,0
easy,simple,33,,,0
easy,simple,34,0.9357851,,1
easy,simple,35,,,0
easy,simple,36,0.95470244,,1
easy,simple,37,0.809705,,1
easy,simple,38,0.96906155,,1
easy,simple,39,0.9673242,,1
easy,simple,40,0.9668536,,1
easy,simple,41,0.9630172,,1
easy,simple,42,0.98781836,,1
easy,simple,43,,,0
easy,simple,44,0.95788026,,1
easy,simple,45,0.97236407,,1
easy,simple,46,0.9636516,,1
easy,simple,47,0.943008,,1
easy,simple,48,0.97331166,,1
easy,simple,49,0.95734,,1
easy,simple,50,0.9616735,,1
easy,simple,51,0.980076,,1
easy,action+layout,0,,,0
easy,action+layout,1,0.9556971,,1
easy,action+layout,2,0.96531266,,1
easy,action+layout,3,,,0
easy,action+layout,4,,,0
easy,action+layout,5,0.9022938,,1
easy,action+layout,6,,,0
easy,action+layout,7,,,0
easy,action+layout,8,0.9361188,,1
easy,action+layout,9,0.84711456,,1
easy,action+layout,10,0.94996405,,1
easy,action+layout,11,0.90367806,,1
easy,action+layout,12,0.96321225,,1
easy,action+layout,13,,,0
easy,action+layout,14,0.94584286,,1
easy,action+layout,15,0.8850039,,1
easy,action+layout,16,0.9414506,,1
easy,action+layout,17,0.90854365,,1
easy,action+layout,18,,,0
easy,action+layout,19,0.9146667,,1
easy,action+layout,20,0.92689055,,1
easy,action+layout,21,0.9521628,,1
easy,action+layout,22,0.96076304,,1
easy,action+layout,23,,,0
easy,action+layout,24,0.9621297,,1
easy,action+layout,25,0.96026427,,1
easy,action+layout,26,0.9601852,,1
easy,action+layout,27,0.9679153,,1
easy,action+layout,28,,,0
easy,action+layout,29,0.91809994,,1
easy,action+layout,30,,,0
easy,action+layout,31,,,0
easy,action+layout,32,,,0
easy,action+layout,33,,,0
easy,action+layout,34,,,0
easy,action+layout,35,0.93806994,,1
easy,action+layout,36,,,0
easy,action+layout,37,0.9843509,,1
easy,action+layout,38,0.8842191,,1
easy,action+layout,39,0.9129724,,2
easy,action+layout,40,0.96952933,,1
easy,action+layout,41,0.958464,,1
easy,action+layout,42,,,0
easy,action+layout,43,0.88223267,,1
easy,action+layout,44,0.8624684,,1
easy,action+layout,45,0.9133441,,1
easy,action+layout,46,0.9341593,,1
easy,action+layout,47,0.9462365,,2
easy,action+layout,48,,,0
easy,action+layout,49,,,0
easy,action+layout,50,,,0
easy,action+layout,51,0.9318653,,1
easy,action+expression,0,0.95282555,,1
easy,action+expression,1,0.9714857,,1
easy,action+expression,2,0.97598124,,1
easy,action+expression,3,0.969482,,1
easy,action+expression,4,,,0
easy,action+expression,5,0.9868871,,1
easy,action+expression,6,0.97429144,,1
easy,action+expression,7,0.9851583,,1
easy,action+expression,8,0.9697409,,1
easy,action+expression,9,,,0
easy,action+expression,10,0.9680048,,1
easy,action+expression,11,,,0
easy,action+expression,12,0.97376066,,1
easy,action+expression,13,0.95382166,,1
easy,action+expression,14,0.89199173,,1
easy,action+expression,15,0.9442683,,1
easy,action+expression,16,0.9731644,,2
easy,action+expression,17,0.95022345,,1
easy,action+expression,18,0.924251,,1
easy,action+expression,19,0.9323905,,1
easy,action+expression,20,,,0
easy,action+expression,21,0.950079,,1
easy,action+expression,22,0.93878716,,1
easy,action+expression,23,,,0
easy,action+expression,24,0.9600012,,1
easy,action+expression,25,0.8829396,,2
easy,action+expression,26,0.97743547,,1
easy,action+expression,27,0.9489893,,1
easy,action+expression,28,,,0
easy,action+expression,29,,,0
