mode,prompt_type,id_,score
easy,simple,0,6.123957633972168
easy,simple,1,6.1218976974487305
easy,simple,2,6.932678699493408
easy,simple,3,6.918277740478516
easy,simple,4,7.023642063140869
easy,simple,5,7.0183234214782715
easy,simple,6,6.735099792480469
easy,simple,7,6.759882926940918
easy,simple,8,5.989558696746826
easy,simple,9,5.999111175537109
easy,simple,10,6.356810569763184
easy,simple,11,6.361713409423828
easy,simple,12,7.079621315002441
easy,simple,13,7.109780311584473
easy,simple,14,6.522378921508789
easy,simple,15,6.519272804260254
easy,simple,16,6.014904975891113
easy,simple,17,6.027198791503906
easy,simple,18,6.708906650543213
easy,simple,19,6.727677822113037
easy,simple,20,6.8873748779296875
easy,simple,21,6.910144329071045
easy,simple,22,6.495804309844971
easy,simple,23,6.481081008911133
easy,simple,24,6.323090553283691
easy,simple,25,6.3238654136657715
easy,simple,26,6.336853981018066
easy,simple,27,6.340673923492432
easy,simple,28,6.174921989440918
easy,simple,29,6.177267074584961
easy,simple,30,5.79896354675293
easy,simple,31,5.79896354675293
easy,simple,32,5.592886924743652
easy,simple,33,5.603903770446777
easy,simple,34,6.585053443908691
easy,simple,35,6.607337474822998
easy,simple,36,7.354668617248535
easy,simple,37,7.354571342468262
easy,simple,38,6.541884422302246
easy,simple,39,6.545151710510254
easy,simple,40,6.021603584289551
easy,simple,41,6.045900344848633
easy,simple,42,6.335727214813232
easy,simple,43,6.329463958740234
easy,simple,44,7.1202239990234375
easy,simple,45,7.101694583892822
easy,simple,46,6.239926338195801
easy,simple,47,6.248019695281982
easy,simple,48,6.679156303405762
easy,simple,49,6.666690826416016
easy,simple,50,6.63129997253418
easy,simple,51,6.638890266418457
easy,action+layout,0,6.550050258636475
easy,action+layout,1,6.454897403717041
easy,action+layout,2,5.880393028259277
easy,action+layout,3,6.830151557922363
easy,action+layout,4,6.555571556091309
easy,action+layout,5,6.939846515655518
easy,action+layout,6,5.9540605545043945
easy,action+layout,7,6.268850803375244
easy,action+layout,8,6.648776054382324
easy,action+layout,9,6.2782440185546875
easy,action+layout,10,5.591278076171875
easy,action+layout,11,6.253854751586914
easy,action+layout,12,6.807806968688965
easy,action+layout,13,7.311464309692383
easy,action+layout,14,6.744577884674072
easy,action+layout,15,5.542720317840576
easy,action+layout,16,5.717257499694824
easy,action+layout,17,6.441176414489746
easy,action+layout,18,5.906622886657715
easy,action+layout,19,6.747748851776123
easy,action+layout,20,5.6858367919921875
easy,action+layout,21,7.188636779785156
easy,action+layout,22,6.254207611083984
easy,action+layout,23,6.145355224609375
easy,action+layout,24,6.239884853363037
easy,action+layout,25,5.928101539611816
easy,action+layout,26,6.018089294433594
easy,action+layout,27,6.391788482666016
easy,action+layout,28,5.745736122131348
easy,action+layout,29,6.203366279602051
easy,action+layout,30,5.603309154510498
easy,action+layout,31,5.564855098724365
easy,action+layout,32,5.174844264984131
easy,action+layout,33,6.549333572387695
easy,action+layout,34,6.690503120422363
easy,action+layout,35,7.116909027099609
easy,action+layout,36,6.414966583251953
easy,action+layout,37,6.446315288543701
easy,action+layout,38,5.920127868652344
easy,action+layout,39,6.585834503173828
easy,action+layout,40,6.131718635559082
easy,action+layout,41,5.944718360900879
easy,action+layout,42,5.767869472503662
easy,action+layout,43,6.38211727142334
easy,action+layout,44,7.439497947692871
easy,action+layout,45,7.071503639221191
easy,action+layout,46,6.462352752685547
easy,action+layout,47,6.214545249938965
easy,action+layout,48,7.010018348693848
easy,action+layout,49,6.599020957946777
easy,action+layout,50,6.110445022583008
easy,action+layout,51,6.671518325805664
easy,action+expression,0,6.321514129638672
easy,action+expression,1,6.56817626953125
easy,action+expression,2,6.896883964538574
easy,action+expression,3,6.781994819641113
easy,action+expression,4,7.558729648590088
easy,action+expression,5,6.841785430908203
easy,action+expression,6,6.844067096710205
easy,action+expression,7,6.398715019226074
easy,action+expression,8,5.985023021697998
easy,action+expression,9,6.259986400604248
easy,action+expression,10,6.321629524230957
easy,action+expression,11,6.525204181671143
easy,action+expression,12,6.150129318237305
easy,action+expression,13,6.177833557128906
easy,action+expression,14,6.220585823059082
easy,action+expression,15,6.141022682189941
easy,action+expression,16,5.941108226776123
easy,action+expression,17,6.258017539978027
easy,action+expression,18,6.46075439453125
easy,action+expression,19,6.63970422744751
easy,action+expression,20,6.952059268951416
easy,action+expression,21,7.161507606506348
easy,action+expression,22,6.606508731842041
easy,action+expression,23,6.816217422485352
easy,action+expression,24,6.266249656677246
easy,action+expression,25,6.314830303192139
easy,action+expression,26,5.758349895477295
easy,action+expression,27,6.251711368560791
easy,action+expression,28,6.006076812744141
easy,action+expression,29,6.002059459686279
easy,action+expression,30,5.936686038970947
easy,action+expression,31,6.17026424407959
easy,action+expression,32,6.402836799621582
easy,action+expression,33,6.103137969970703
easy,action+expression,34,6.8701372146606445
easy,action+expression,35,6.927274227142334
easy,action+expression,36,6.922762870788574
easy,action+expression,37,5.4048895835876465
easy,action+expression,38,6.838022232055664
easy,action+expression,39,6.954030990600586
easy,action+expression,40,6.159735679626465
easy,action+expression,41,5.630993843078613
easy,action+expression,42,5.9598069190979
easy,action+expression,43,6.424246311187744
easy,action+expression,44,7.091231346130371
easy,action+expression,45,6.442228317260742
easy,action+expression,46,6.131805419921875
easy,action+expression,47,6.166784763336182
easy,action+expression,48,6.48990535736084
easy,action+expression,49,6.485474586486816
easy,action+expression,50,6.967205047607422
easy,action+expression,51,7.138990879058838
easy,action+background,0,6.401757717132568
easy,action+background,1,6.500453472137451
easy,action+background,2,6.412730693817139
easy,action+background,3,6.7337965965271
easy,action+background,4,6.626407623291016
easy,action+background,5,6.6605682373046875
easy,action+background,6,6.356696605682373
easy,action+background,7,6.462068557739258
easy,action+background,8,6.204130172729492
easy,action+background,9,6.502643585205078
easy,action+background,10,6.5164055824279785
easy,action+background,11,6.641457557678223
easy,action+background,12,5.559903144836426
easy,action+background,13,6.006712913513184
easy,action+background,14,6.049367904663086
easy,action+background,15,6.156767845153809
easy,action+background,16,6.191723823547363
easy,action+background,17,5.840728759765625
easy,action+background,18,5.868493556976318
easy,action+background,19,5.814173698425293
easy,action+background,20,6.315696716308594
easy,action+background,21,6.935211181640625
easy,action+background,22,6.793888092041016
easy,action+background,23,6.799692630767822
easy,action+background,24,6.738574981689453
easy,action+background,25,5.916996955871582
easy,action+background,26,6.608583450317383
easy,action+background,27,6.012020587921143
easy,action+background,28,6.18775749206543
easy,action+background,29,6.7076640129089355
easy,action+background,30,5.575457572937012
easy,action+background,31,6.5396037101745605
easy,action+background,32,6.704020023345947
easy,action+background,33,6.788248062133789
easy,action+background,34,6.483595848083496
easy,action+background,35,6.564541816711426
easy,action+background,36,6.029052734375
easy,action+background,37,7.352603912353516
easy,action+background,38,6.1008620262146
easy,action+background,39,6.356716156005859
easy,action+background,40,6.191455841064453
easy,action+background,41,6.079312801361084
easy,action+background,42,6.044646263122559
easy,action+background,43,5.982854843139648
easy,action+background,44,5.4015374183654785
easy,action+background,45,6.656172752380371
easy,action+background,46,6.254068374633789
easy,action+background,47,6.558285713195801
easy,action+background,48,5.66257905960083
easy,action+background,49,6.691061973571777
easy,action+background,50,5.87281608581543
easy,action+background,51,6.741147994995117
easy,all,0,6.115289688110352
easy,all,1,6.369341850280762
easy,all,2,6.277836322784424
easy,all,3,6.62661075592041
easy,all,4,7.438839435577393
easy,all,5,6.7351226806640625
easy,all,6,6.5800886154174805
easy,all,7,6.087984085083008
easy,all,8,5.837528228759766
easy,all,9,6.311288833618164
easy,all,10,6.040158271789551
easy,all,11,6.633072853088379
easy,all,12,5.583854675292969
easy,all,13,5.9382452964782715
easy,all,14,6.046500205993652
easy,all,15,6.363391876220703
easy,all,16,5.8547234535217285
easy,all,17,6.314447402954102
easy,all,18,6.070392608642578
easy,all,19,6.10513973236084
easy,all,20,6.443619251251221
easy,all,21,6.131909370422363
easy,all,22,5.963177680969238
easy,all,23,6.331533432006836
easy,all,24,6.471290588378906
easy,all,25,5.71976375579834
easy,all,26,6.614754676818848
easy,all,27,6.073365211486816
easy,all,28,6.192902565002441
easy,all,29,6.9284467697143555
easy,all,30,5.6002888679504395
easy,all,31,7.067760467529297
easy,all,32,6.936943054199219
easy,all,33,6.717105388641357
easy,all,34,7.436439514160156
easy,all,35,6.797185897827148
easy,all,36,6.687157154083252
easy,all,37,6.827101707458496
easy,all,38,6.593423843383789
easy,all,39,6.030718803405762
easy,all,40,6.2616801261901855
easy,all,41,5.760831832885742
easy,all,42,5.644320487976074
easy,all,43,6.523248672485352
easy,all,44,6.384994983673096
easy,all,45,6.296899795532227
easy,all,46,5.940857887268066
easy,all,47,5.853450775146484
easy,all,48,5.596988677978516
easy,all,49,6.631715774536133
easy,all,50,6.117368698120117
easy,all,51,6.702727317810059
medium,simple,0,7.074078559875488
medium,simple,1,7.09297513961792
medium,simple,2,6.475383758544922
medium,simple,3,6.499096870422363
medium,simple,4,6.490077018737793
medium,simple,5,6.480910301208496
medium,simple,6,6.451635360717773
medium,simple,7,6.4469895362854
medium,simple,8,6.219912528991699
medium,simple,9,6.232192039489746
medium,simple,10,6.100787162780762
medium,simple,11,6.113738059997559
medium,simple,12,5.554210186004639
medium,simple,13,5.568582534790039
medium,simple,14,6.276268005371094
medium,simple,15,6.294797420501709
medium,simple,16,5.8801469802856445
medium,simple,17,5.864161491394043
medium,simple,18,5.469682216644287
medium,simple,19,5.496121406555176
medium,simple,20,6.621633052825928
medium,simple,21,6.6438493728637695
medium,simple,22,6.684408664703369
medium,simple,23,6.683684349060059
medium,simple,24,6.509609699249268
medium,simple,25,6.502762317657471
medium,simple,26,6.451718330383301
medium,simple,27,6.456754684448242
medium,simple,28,5.99050235748291
medium,simple,29,6.009774208068848
medium,simple,30,5.402773857116699
medium,simple,31,5.430149078369141
medium,simple,32,6.605230808258057
medium,simple,33,6.631288051605225
medium,simple,34,6.161802291870117
medium,simple,35,6.167513847351074
medium,simple,36,6.954453468322754
medium,simple,37,6.947583198547363
medium,simple,38,6.938169002532959
medium,simple,39,6.940363883972168
medium,simple,40,6.1340227127075195
medium,simple,41,6.149690628051758
medium,simple,42,6.117846488952637
medium,simple,43,6.126664161682129
medium,simple,44,6.017336368560791
medium,simple,45,6.011814117431641
medium,simple,46,5.996657371520996
medium,simple,47,6.0124711990356445
medium,simple,48,7.14544677734375
medium,simple,49,7.067075729370117
medium,simple,50,7.040030002593994
medium,simple,51,7.045400619506836
medium,action+layout,0,7.1065497398376465
medium,action+layout,1,6.632241249084473
medium,action+layout,2,6.194456100463867
medium,action+layout,3,6.4090399742126465
medium,action+layout,4,7.195870399475098
medium,action+layout,5,5.923248767852783
medium,action+layout,6,5.713789463043213
medium,action+layout,7,6.9731645584106445
medium,action+layout,8,6.111874103546143
medium,action+layout,9,5.925334453582764
medium,action+layout,10,5.751090049743652
medium,action+layout,11,5.964217185974121
medium,action+layout,12,6.907570838928223
medium,action+layout,13,6.354328155517578
medium,action+layout,14,5.453936576843262
medium,action+layout,15,7.095521926879883
medium,action+layout,16,6.634549617767334
medium,action+layout,17,6.992718696594238
medium,action+layout,18,5.975277900695801
medium,action+layout,19,6.481897830963135
medium,action+layout,20,6.498358726501465
medium,action+layout,21,7.279331207275391
medium,action+layout,22,6.919281482696533
medium,action+layout,23,6.767549514770508
medium,action+layout,24,6.018024444580078
medium,action+layout,25,6.46515417098999
medium,action+layout,26,6.294963836669922
medium,action+layout,27,6.406039714813232
medium,action+layout,28,6.093158721923828
medium,action+layout,29,6.539804935455322
medium,action+layout,30,5.93735933303833
medium,action+layout,31,6.208574295043945
medium,action+layout,32,6.606562614440918
medium,action+layout,33,6.976955413818359
medium,action+layout,34,6.150181293487549
medium,action+layout,35,6.584702968597412
medium,action+layout,36,6.867589473724365
medium,action+layout,37,6.353767395019531
medium,action+layout,38,5.420300483703613
medium,action+layout,39,6.909678936004639
medium,action+layout,40,6.150943756103516
medium,action+layout,41,5.822867393493652
medium,action+layout,42,5.276883125305176
medium,action+layout,43,5.7383551597595215
medium,action+layout,44,6.037158966064453
medium,action+layout,45,6.3274688720703125
medium,action+layout,46,5.751922130584717
medium,action+layout,47,5.7970428466796875
medium,action+layout,48,7.02994441986084
medium,action+layout,49,6.815654277801514
medium,action+layout,50,6.484981536865234
medium,action+layout,51,6.953887939453125
medium,action+expression,0,6.920352458953857
medium,action+expression,1,6.7480645179748535
medium,action+expression,2,7.138303756713867
medium,action+expression,3,6.714458465576172
medium,action+expression,4,6.7232818603515625
medium,action+expression,5,7.247941017150879
medium,action+expression,6,6.5195159912109375
medium,action+expression,7,6.68085241317749
medium,action+expression,8,5.965749263763428
medium,action+expression,9,6.139922142028809
medium,action+expression,10,6.171974182128906
medium,action+expression,11,6.090604305267334
medium,action+expression,12,6.103572845458984
medium,action+expression,13,6.160305976867676
medium,action+expression,14,6.198854446411133
medium,action+expression,15,5.974002361297607
medium,action+expression,16,6.202515602111816
medium,action+expression,17,5.582839488983154
medium,action+expression,18,6.105348110198975
