mode,prompt_type,id_,score
easy,simple,0,0.2818141281604767
easy,simple,1,0.2763509452342987
easy,simple,2,0.2587030827999115
easy,simple,3,0.2665528357028961
easy,simple,4,0.2863011658191681
easy,simple,5,0.23734909296035767
easy,simple,6,0.2651921808719635
easy,simple,7,0.31494632363319397
easy,simple,8,0.2990396022796631
easy,simple,9,0.28945931792259216
easy,simple,10,0.24755702912807465
easy,simple,11,0.30654874444007874
easy,simple,12,0.2762577533721924
easy,simple,13,0.30438706278800964
easy,simple,14,0.2726259231567383
easy,simple,15,0.247418612241745
easy,simple,16,0.25570327043533325
easy,simple,17,0.24586011469364166
easy,simple,18,0.3161231577396393
easy,simple,19,0.2907853424549103
easy,simple,20,0.2750348150730133
easy,simple,21,0.2750740647315979
easy,simple,22,0.25608161091804504
easy,simple,23,0.25952503085136414
easy,simple,24,0.27216947078704834
easy,simple,25,0.2769988179206848
easy,simple,26,0.282304048538208
easy,simple,27,0.30746757984161377
easy,simple,28,0.25895190238952637
easy,simple,29,0.28952479362487793
easy,simple,30,0.28893861174583435
easy,simple,31,0.27592864632606506
easy,simple,32,0.23325397074222565
easy,simple,33,0.2469058334827423
easy,simple,34,0.25397711992263794
easy,simple,35,0.2941740155220032
easy,simple,36,0.2855706810951233
easy,simple,37,0.30282726883888245
easy,simple,38,0.2610544264316559
easy,simple,39,0.2511119544506073
easy,simple,40,0.26579397916793823
easy,simple,41,0.262753427028656
easy,simple,42,0.27974507212638855
easy,simple,43,0.28699013590812683
easy,simple,44,0.26456397771835327
easy,simple,45,0.2595444619655609
easy,simple,46,0.2407248616218567
easy,simple,47,0.22556886076927185
easy,simple,48,0.23491649329662323
easy,simple,49,0.2573022246360779
easy,simple,50,0.2852650582790375
easy,simple,51,0.2648395001888275
easy,action+layout,0,0.2710914611816406
easy,action+layout,1,0.22637447714805603
easy,action+layout,2,0.25233373045921326
easy,action+layout,3,0.2734631896018982
easy,action+layout,4,0.272346556186676
easy,action+layout,5,0.2928162217140198
easy,action+layout,6,0.27345675230026245
easy,action+layout,7,0.25706350803375244
easy,action+layout,8,0.2852852940559387
easy,action+layout,9,0.2907310128211975
easy,action+layout,10,0.2982810139656067
easy,action+layout,11,0.2960910499095917
easy,action+layout,12,0.30171090364456177
easy,action+layout,13,0.2637413740158081
easy,action+layout,14,0.24136623740196228
easy,action+layout,15,0.2288929522037506
easy,action+layout,16,0.23027461767196655
easy,action+layout,17,0.24126335978507996
easy,action+layout,18,0.28553634881973267
easy,action+layout,19,0.27225983142852783
easy,action+layout,20,0.2429564893245697
easy,action+layout,21,0.24415656924247742
easy,action+layout,22,0.23767715692520142
easy,action+layout,23,0.2559950053691864
easy,action+layout,24,0.251508891582489
easy,action+layout,25,0.2738523483276367
easy,action+layout,26,0.3060900568962097
easy,action+layout,27,0.2949604392051697
easy,action+layout,28,0.31282222270965576
easy,action+layout,29,0.2421809583902359
easy,action+layout,30,0.28017568588256836
easy,action+layout,31,0.2985321879386902
easy,action+layout,32,0.26371967792510986
easy,action+layout,33,0.2555278241634369
easy,action+layout,34,0.2692418694496155
easy,action+layout,35,0.24340718984603882
easy,action+layout,36,0.2832593321800232
easy,action+layout,37,0.27084189653396606
easy,action+layout,38,0.28425461053848267
easy,action+layout,39,0.2955978512763977
easy,action+layout,40,0.23793469369411469
easy,action+layout,41,0.23657426238059998
easy,action+layout,42,0.2662603557109833
easy,action+layout,43,0.3055621385574341
easy,action+layout,44,0.28179270029067993
easy,action+layout,45,0.2609905004501343
easy,action+layout,46,0.2350652813911438
easy,action+layout,47,0.23813296854496002
easy,action+layout,48,0.22135701775550842
easy,action+layout,49,0.25902995467185974
easy,action+layout,50,0.26703569293022156
easy,action+layout,51,0.25185585021972656
easy,action+expression,0,0.2695322632789612
easy,action+expression,1,0.26827889680862427
easy,action+expression,2,0.2532902956008911
easy,action+expression,3,0.27017658948898315
easy,action+expression,4,0.2962547540664673
easy,action+expression,5,0.2844020426273346
easy,action+expression,6,0.2768491804599762
easy,action+expression,7,0.3019770085811615
easy,action+expression,8,0.32756245136260986
easy,action+expression,9,0.30270498991012573
easy,action+expression,10,0.31470391154289246
easy,action+expression,11,0.29378950595855713
easy,action+expression,12,0.26442015171051025
easy,action+expression,13,0.25669723749160767
