mode,prompt_type,id_,sum,score1,score2,score3,score4,score5,score6,score7,score8,score9,score10,score11,score12,score13,score14,score15,score16,score17,score18,reason1,reason2,reason3,reason4,reason5,reason6,reason7,reason8,reason9,reason10,reason11,reason12,reason13,reason14,reason15,reason16,reason17,reason18,comp_tok_sum,prompt_tok_sum
easy,simple,6,82,5,5,5,5,4,4,4,5,4,4,5,5,5,5,5,4,3,5,,,,,,,,,,,,,,,,,,,90,275095
easy,action+layout,37,79,5,5,2,4,4,5,4,5,4,3,4,5,5,5,5,5,4,5,,,,,,,,,,,,,,,,,,,90,275140
easy,action+expression,4,78,5,5,5,5,3,4,4,4,3,2,5,5,5,5,5,5,3,5,,,,,,,,,,,,,,,,,,,90,275140
easy,action+background,19,76,5,5,4,5,3,4,4,5,2,2,4,5,5,5,5,4,4,5,,,,,,,,,,,,,,,,,,,90,275158
easy,all,30,50,1,5,1,5,5,5,1,1,1,1,1,1,3,5,5,4,3,2,,,,,,,,,,,,,,,,,,,90,275239
easy,simple,42,75,5,5,5,5,3,4,4,5,3,2,3,5,5,4,5,4,3,5,,,,,,,,,,,,,,,,,,,90,275113
easy,action+layout,27,76,5,5,4,5,3,5,3,5,2,2,4,5,5,5,5,5,3,5,,,,,,,,,,,,,,,,,,,90,275122
easy,action+expression,0,87,5,5,4,5,4,5,5,5,5,5,4,5,5,5,5,5,5,5,,,,,,,,,,,,,,,,,,,90,275140
easy,action+background,8,75,5,5,5,5,1,4,5,5,1,1,5,5,5,5,5,5,3,5,,,,,,,,,,,,,,,,,,,90,275140
easy,all,38,52,5,1,2,4,1,4,3,2,1,1,4,1,2,4,5,5,2,5,,,,,,,,,,,,,,,,,,,90,275257
easy,simple,49,72,5,5,4,5,3,4,4,3,3,2,3,5,5,5,4,4,3,5,,,,,,,,,,,,,,,,,,,90,275122
easy,action+layout,34,49,5,5,2,2,2,3,2,1,2,2,2,1,2,3,4,4,3,4,,,,,,,,,,,,,,,,,,,90,275176
easy,action+expression,23,71,5,5,4,5,1,5,4,4,1,1,4,5,5,5,5,4,3,5,,,,,,,,,,,,,,,,,,,90,275167
easy,action+background,5,73,5,5,4,4,2,4,3,5,2,2,5,5,5,5,5,4,3,5,,,,,,,,,,,,,,,,,,,90,275140
easy,all,28,63,5,5,2,5,2,4,4,3,1,1,1,3,3,5,5,5,4,5,,,,,,,,,,,,,,,,,,,90,275239
easy,simple,9,62,5,5,4,5,1,3,4,5,1,1,3,5,5,3,2,3,2,5,,,,,,,,,,,,,,,,,,,90,275095
easy,action+layout,3,59,5,5,2,4,3,3,3,3,1,3,1,1,5,4,5,4,2,5,,,,,,,,,,,,,,,,,,,90,275113
easy,action+expression,16,67,5,1,4,4,1,4,3,5,1,1,5,5,5,5,5,5,3,5,,,,,,,,,,,,,,,,,,,90,275167
easy,action+background,50,63,5,5,2,5,3,3,4,2,2,2,1,1,5,5,5,5,3,5,,,,,,,,,,,,,,,,,,,90,275167
easy,all,2,69,5,5,3,4,3,4,4,2,3,3,3,5,5,5,5,4,3,3,,,,,,,,,,,,,,,,,,,90,275203
easy,simple,51,47,1,1,2,1,3,5,5,1,2,2,1,1,1,5,5,5,4,2,,,,,,,,,,,,,,,,,,,90,275122
easy,action+layout,32,60,5,5,4,5,2,3,3,2,1,2,1,1,5,4,5,4,3,5,,,,,,,,,,,,,,,,,,,90,275167
easy,action+expression,18,69,5,5,2,5,4,4,4,2,2,2,1,5,4,5,5,5,4,5,,,,,,,,,,,,,,,,,,,90,275131
easy,action+background,7,70,5,5,4,4,2,4,3,5,1,2,5,5,5,5,4,4,2,5,,,,,,,,,,,,,,,,,,,90,275140
easy,all,36,72,5,5,5,5,2,4,3,4,1,1,5,5,5,4,5,5,3,5,,,,,,,,,,,,,,,,,,,90,275221
easy,simple,33,64,5,5,4,5,2,3,3,4,1,2,1,5,5,4,3,4,3,5,,,,,,,,,,,,,,,,,,,90,275158
easy,action+layout,21,72,5,5,2,3,3,4,4,4,4,3,3,5,5,5,5,4,3,5,,,,,,,,,,,,,,,,,,,90,275149
easy,action+expression,44,42,3,1,1,1,2,5,2,1,1,1,1,1,1,4,5,4,4,4,,,,,,,,,,,,,,,,,,,90,275122
easy,action+background,1,73,5,5,2,4,4,5,4,2,4,4,4,1,5,5,5,5,4,5,,,,,,,,,,,,,,,,,,,90,275149
easy,all,47,66,5,5,4,4,1,3,3,5,1,1,5,5,5,4,3,4,3,5,,,,,,,,,,,,,,,,,,,90,275194
easy,simple,15,84,5,5,5,5,4,5,4,5,4,4,4,5,5,5,5,5,4,5,,,,,,,,,,,,,,,,,,,90,275113
easy,action+layout,22,72,5,5,4,5,3,4,4,3,3,3,1,5,5,5,5,4,3,5,,,,,,,,,,,,,,,,,,,90,275158
easy,action+expression,45,73,5,5,4,5,2,4,4,5,1,1,4,5,5,4,5,5,4,5,,,,,,,,,,,,,,,,,,,90,275131
easy,action+background,43,74,5,5,5,5,2,4,4,5,2,2,5,5,5,4,4,4,3,5,,,,,,,,,,,,,,,,,,,90,275158
easy,all,17,47,5,1,2,3,1,4,3,1,1,1,4,2,2,3,4,4,2,4,,,,,,,,,,,,,,,,,,,90,275221
easy,simple,24,66,5,5,4,5,1,4,3,5,1,1,3,5,5,4,3,4,3,5,,,,,,,,,,,,,,,,,,,90,275104
easy,action+layout,41,62,5,5,2,4,1,4,2,5,1,1,4,5,5,4,2,4,3,5,,,,,,,,,,,,,,,,,,,90,275122
easy,action+expression,29,69,5,5,4,5,1,4,3,5,1,1,1,5,5,5,5,5,4,5,,,,,,,,,,,,,,,,,,,90,275176
easy,action+background,11,71,5,5,4,4,2,4,4,5,2,1,4,5,5,5,4,4,3,5,,,,,,,,,,,,,,,,,,,90,275149
easy,all,14,44,3,1,1,1,1,3,5,2,1,1,1,2,2,5,5,5,3,2,,,,,,,,,,,,,,,,,,,90,275248
medium,simple,37,57,5,5,4,3,1,3,2,4,1,1,3,5,5,2,2,4,2,5,,,,,,,,,,,,,,,,,,,90,309158
medium,action+layout,49,43,1,5,2,3,2,3,2,2,1,1,3,2,3,2,3,3,2,3,,,,,,,,,,,,,,,,,,,90,309293
medium,action+expression,29,64,5,5,3,4,2,4,3,4,1,2,2,4,4,4,5,4,3,5,,,,,,,,,,,,,,,,,,,90,309212
medium,action+background,48,42,1,1,1,1,1,5,5,1,1,1,5,1,1,5,5,5,1,1,,,,,,,,,,,,,,,,,,,90,309203
medium,all,20,70,5,5,4,5,3,4,4,3,1,1,5,4,5,4,5,4,3,5,,,,,,,,,,,,,,,,,,,90,309365
medium,simple,25,70,5,5,4,4,3,4,4,5,1,1,4,5,5,4,4,4,3,5,,,,,,,,,,,,,,,,,,,90,309131
medium,action+layout,18,53,3,1,1,2,2,5,5,2,1,1,4,2,2,5,5,5,4,3,,,,,,,,,,,,,,,,,,,90,309275
medium,action+expression,22,49,2,1,3,3,2,4,3,2,1,1,3,2,2,4,5,4,3,4,,,,,,,,,,,,,,,,,,,90,309257
medium,action+background,33,48,1,1,4,4,1,4,3,2,1,1,4,2,4,3,3,3,3,4,,,,,,,,,,,,,,,,,,,90,309239
medium,all,11,66,5,5,4,4,1,4,4,4,1,1,4,5,5,3,4,4,3,5,,,,,,,,,,,,,,,,,,,90,309338
medium,simple,43,65,5,5,4,4,1,4,3,4,1,1,3,5,5,4,4,4,3,5,,,,,,,,,,,,,,,,,,,90,309140
medium,action+layout,7,66,5,5,4,4,1,4,4,4,1,1,4,5,5,4,4,4,3,4,,,,,,,,,,,,,,,,,,,90,309248
medium,action+expression,9,72,5,5,4,5,4,4,4,4,1,1,4,4,5,4,5,5,3,5,,,,,,,,,,,,,,,,,,,90,309212
medium,action+background,46,66,5,5,4,4,2,4,2,4,1,1,5,5,5,3,4,4,3,5,,,,,,,,,,,,,,,,,,,90,309203
medium,all,16,54,1,1,3,4,3,4,4,2,1,1,5,2,3,4,5,4,3,4,,,,,,,,,,,,,,,,,,,90,309284
medium,simple,23,61,5,5,4,4,2,4,3,2,1,1,2,5,5,4,2,4,3,5,,,,,,,,,,,,,,,,,,,90,309167
medium,action+layout,47,58,5,5,2,4,2,4,2,3,1,1,2,4,4,3,5,4,3,4,,,,,,,,,,,,,,,,,,,90,309221
medium,action+expression,4,72,5,5,5,5,3,4,4,3,1,1,4,4,5,5,5,5,3,5,,,,,,,,,,,,,,,,,,,90,309248
medium,action+background,30,59,5,5,2,4,2,4,3,3,1,1,3,2,3,4,5,4,3,5,,,,,,,,,,,,,,,,,,,90,309221
medium,all,1,67,5,5,3,3,3,4,3,5,1,2,4,5,5,3,4,4,3,5,,,,,,,,,,,,,,,,,,,90,309329
medium,simple,39,31,1,1,2,3,1,2,2,2,1,1,3,1,2,1,1,2,2,3,,,,,,,,,,,,,,,,,,,90,309158
medium,action+layout,14,55,1,-3,4,3,3,4,4,5,1,1,3,4,4,4,5,4,3,5,,,,,,,,,,,,,,,,,,,91,309194
medium,action+expression,32,66,5,5,4,4,2,4,3,5,1,1,1,5,5,4,5,4,3,5,,,,,,,,,,,,,,,,,,,90,309212
medium,action+background,31,46,1,1,1,1,5,5,5,1,1,1,1,1,1,5,5,5,5,1,,,,,,,,,,,,,,,,,,,90,309248
medium,all,27,46,1,1,2,3,2,3,3,2,1,1,4,2,3,5,4,4,2,3,,,,,,,,,,,,,,,,,,,90,309293
medium,simple,12,64,4,5,4,4,2,3,3,5,1,1,3,5,5,4,3,4,3,5,,,,,,,,,,,,,,,,,,,90,309140
medium,action+layout,19,61,5,1,4,4,3,4,4,3,1,1,4,3,4,4,5,4,3,4,,,,,,,,,,,,,,,,,,,90,309212
medium,action+expression,45,62,5,5,3,4,1,4,4,3,1,1,4,4,3,4,4,4,3,5,,,,,,,,,,,,,,,,,,,90,309203
medium,action+background,44,69,5,5,4,4,1,4,4,5,1,1,5,5,5,4,4,4,3,5,,,,,,,,,,,,,,,,,,,90,309212
medium,all,13,73,5,5,4,4,3,4,4,4,1,1,5,5,5,5,5,5,3,5,,,,,,,,,,,,,,,,,,,90,309365
medium,simple,28,40,1,1,2,2,3,3,2,3,1,1,1,2,2,2,2,4,3,5,,,,,,,,,,,,,,,,,,,90,309176
medium,action+layout,0,54,1,1,2,3,5,4,4,2,1,1,1,1,5,4,5,5,4,5,,,,,,,,,,,,,,,,,,,90,309221
