mode,prompt_type,id_,sum,score1,score2,score3,score4,score5,score6,score7,score8,score9,score10,score11,score12,score13,score14,score15,score16,score17,score18,reason1,reason2,reason3,reason4,reason5,reason6,reason7,reason8,reason9,reason10,reason11,reason12,reason13,reason14,reason15,reason16,reason17,reason18,comp_tok_sum,prompt_tok_sum
easy,simple,0,57,5,1,4,4,1,4,4,5,1,1,2,1,5,5,4,5,4,1,,,,,,,,,,,,,,,,,,,108,275023
easy,simple,1,67,5,5,4,4,1,4,4,5,1,1,2,5,5,5,5,5,4,2,,,,,,,,,,,,,,,,,,,108,275023
easy,simple,2,72,5,5,2,5,4,5,4,5,2,2,3,1,5,5,5,5,4,5,,,,,,,,,,,,,,,,,,,108,275023
easy,simple,3,69,5,5,2,5,3,5,4,5,3,1,1,1,5,5,5,5,4,5,,,,,,,,,,,,,,,,,,,108,275023
easy,simple,4,77,5,5,5,5,3,4,4,5,1,1,5,5,5,5,5,5,4,5,,,,,,,,,,,,,,,,,,,108,275023
easy,simple,5,77,5,5,5,5,3,4,4,5,1,1,5,5,5,5,5,5,4,5,,,,,,,,,,,,,,,,,,,108,275023
easy,simple,6,73,5,1,5,5,2,4,4,5,1,3,5,5,5,5,5,5,3,5,,,,,,,,,,,,,,,,,,,108,275023
easy,simple,7,70,5,1,5,5,3,4,4,5,1,3,5,1,5,5,5,5,3,5,,,,,,,,,,,,,,,,,,,108,275023
easy,simple,8,69,5,1,5,5,1,4,5,5,1,1,5,5,5,4,4,5,3,5,,,,,,,,,,,,,,,,,,,108,275023
easy,simple,9,68,5,1,5,5,1,4,5,5,1,1,5,5,5,4,4,4,3,5,,,,,,,,,,,,,,,,,,,108,275023
easy,simple,10,76,5,5,4,5,2,4,4,5,2,2,4,5,5,5,5,5,4,5,,,,,,,,,,,,,,,,,,,108,275023
easy,simple,11,76,5,5,4,5,3,5,4,5,2,1,3,5,5,5,5,5,4,5,,,,,,,,,,,,,,,,,,,108,275023
easy,simple,12,77,5,5,5,5,4,4,4,5,3,2,4,5,5,5,5,5,4,2,,,,,,,,,,,,,,,,,,,108,275041
easy,simple,13,75,5,5,4,5,4,4,4,5,2,2,4,5,5,5,5,5,4,2,,,,,,,,,,,,,,,,,,,108,275041
easy,simple,14,80,5,5,5,5,4,4,5,5,3,1,5,5,5,5,4,5,4,5,,,,,,,,,,,,,,,,,,,108,275041
easy,simple,15,80,5,5,5,5,3,4,5,5,4,1,5,5,5,5,4,5,4,5,,,,,,,,,,,,,,,,,,,108,275041
easy,simple,16,78,5,5,4,5,3,4,4,5,4,2,4,5,5,5,5,5,3,5,,,,,,,,,,,,,,,,,,,108,275032
easy,simple,17,78,5,5,4,5,3,4,4,5,4,2,3,5,5,5,5,5,4,5,,,,,,,,,,,,,,,,,,,108,275032
easy,simple,18,79,5,5,5,5,4,4,4,5,2,1,4,5,5,5,5,5,5,5,,,,,,,,,,,,,,,,,,,108,275032
easy,simple,19,80,5,5,5,5,4,4,5,5,2,1,5,5,5,5,5,5,4,5,,,,,,,,,,,,,,,,,,,108,275032
easy,simple,20,76,5,5,4,5,2,4,4,5,2,2,5,5,5,5,5,4,4,5,,,,,,,,,,,,,,,,,,,108,275068
easy,simple,21,76,5,5,4,5,2,4,4,5,2,2,5,5,5,5,4,5,4,5,,,,,,,,,,,,,,,,,,,108,275068
easy,simple,22,66,5,5,3,5,4,5,5,2,2,1,4,1,1,5,5,5,3,5,,,,,,,,,,,,,,,,,,,108,275068
easy,simple,23,67,5,5,3,5,4,5,4,2,3,1,4,1,1,5,5,5,4,5,,,,,,,,,,,,,,,,,,,108,275068
easy,simple,24,73,5,5,5,5,2,4,4,5,1,1,4,5,5,5,5,4,3,5,,,,,,,,,,,,,,,,,,,108,275032
easy,simple,25,72,5,5,5,5,2,4,4,5,1,1,4,5,5,5,4,4,3,5,,,,,,,,,,,,,,,,,,,108,275032
easy,simple,26,71,5,5,5,5,2,4,4,5,1,2,3,5,5,4,4,4,3,5,,,,,,,,,,,,,,,,,,,108,275032
easy,simple,27,71,5,5,5,5,2,4,4,5,1,2,3,5,5,4,4,4,3,5,,,,,,,,,,,,,,,,,,,108,275032
easy,simple,28,75,5,5,2,5,4,4,5,5,2,3,1,5,5,5,5,5,4,5,,,,,,,,,,,,,,,,,,,108,275077
easy,simple,29,74,5,5,2,5,4,4,4,4,2,3,1,5,5,5,5,5,5,5,,,,,,,,,,,,,,,,,,,108,275077
easy,simple,30,75,5,5,4,5,3,4,5,4,1,2,3,5,5,5,5,5,4,5,,,,,,,,,,,,,,,,,,,108,275077
easy,simple,31,76,5,5,4,5,5,4,5,4,1,2,3,5,5,5,5,4,4,5,,,,,,,,,,,,,,,,,,,108,275077
