mode,prompt_type,id_,sum,score1,score2,score3,score4,score5,score6,score7,score8,score9,score10,score11,score12,score13,score14,score15,score16,score17,score18,reason1,reason2,reason3,reason4,reason5,reason6,reason7,reason8,reason9,reason10,reason11,reason12,reason13,reason14,reason15,reason16,reason17,reason18,comp_tok_sum,prompt_tok_sum
easy,simple,0,80,5,5,2,5,4,5,5,5,5,4,5,1,5,5,5,5,4,5,,,,,,,,,,,,,,,,,,,108,275023
easy,simple,1,82,5,5,2,5,4,5,5,5,5,4,3,5,5,5,5,5,4,5,,,,,,,,,,,,,,,,,,,108,275023
easy,simple,2,82,5,5,5,5,3,5,5,5,5,3,3,5,5,5,5,5,3,5,,,,,,,,,,,,,,,,,,,108,275023
easy,simple,3,85,5,5,5,5,3,5,5,5,5,3,5,5,5,5,5,5,4,5,,,,,,,,,,,,,,,,,,,108,275023
easy,simple,4,71,5,5,2,5,4,4,4,3,4,3,3,1,5,5,5,5,3,5,,,,,,,,,,,,,,,,,,,108,275023
easy,simple,5,77,5,5,2,5,4,5,5,3,4,3,3,5,5,5,5,5,3,5,,,,,,,,,,,,,,,,,,,108,275023
easy,simple,6,65,5,1,2,4,2,5,5,1,5,3,3,1,5,5,4,5,4,5,,,,,,,,,,,,,,,,,,,108,275023
easy,simple,7,68,5,1,2,4,2,5,5,1,5,4,4,1,5,5,5,5,4,5,,,,,,,,,,,,,,,,,,,108,275023
easy,simple,8,64,5,5,2,2,2,4,4,3,4,3,1,5,3,5,3,4,4,5,,,,,,,,,,,,,,,,,,,108,275023
easy,simple,9,67,5,5,2,2,2,4,4,3,4,3,1,5,5,5,5,4,3,5,,,,,,,,,,,,,,,,,,,108,275023
easy,simple,10,62,5,5,2,3,3,4,4,2,4,2,1,2,1,5,5,5,4,5,,,,,,,,,,,,,,,,,,,108,275023
easy,simple,11,61,5,5,2,3,3,4,4,2,4,2,1,2,1,5,4,5,4,5,,,,,,,,,,,,,,,,,,,108,275023
easy,simple,12,78,5,5,4,5,3,4,4,5,3,3,3,5,5,5,5,5,4,5,,,,,,,,,,,,,,,,,,,108,275041
easy,simple,13,77,5,5,4,5,3,4,4,5,3,3,2,5,5,5,5,5,4,5,,,,,,,,,,,,,,,,,,,108,275041
easy,simple,14,79,5,5,4,5,2,5,4,5,4,3,3,5,5,5,5,5,4,5,,,,,,,,,,,,,,,,,,,108,275041
easy,simple,15,80,5,5,4,5,3,5,4,5,5,3,3,5,5,5,5,5,3,5,,,,,,,,,,,,,,,,,,,108,275041
easy,simple,16,71,5,5,4,5,2,4,4,2,5,3,3,1,5,5,4,5,4,5,,,,,,,,,,,,,,,,,,,108,275032
easy,simple,17,72,5,5,4,5,2,4,4,3,5,3,2,1,5,5,5,5,4,5,,,,,,,,,,,,,,,,,,,108,275032
easy,simple,18,75,5,5,4,5,4,4,4,4,3,2,3,5,5,5,4,5,3,5,,,,,,,,,,,,,,,,,,,108,275032
easy,simple,19,75,5,5,4,5,4,4,4,3,4,2,3,5,5,5,4,5,3,5,,,,,,,,,,,,,,,,,,,108,275032
easy,simple,20,78,5,5,4,5,4,5,4,2,5,4,5,1,5,5,5,5,4,5,,,,,,,,,,,,,,,,,,,108,275068
easy,simple,21,78,5,5,4,5,4,5,5,2,4,4,5,1,5,5,5,5,4,5,,,,,,,,,,,,,,,,,,,108,275068
easy,simple,22,58,1,1,2,5,2,5,5,1,5,3,1,1,1,5,5,5,5,5,,,,,,,,,,,,,,,,,,,108,275068
easy,simple,23,58,1,1,2,5,2,5,5,1,5,3,1,1,1,5,5,5,5,5,,,,,,,,,,,,,,,,,,,108,275068
easy,simple,24,61,5,5,2,3,2,4,4,2,4,3,2,1,1,5,5,4,4,5,,,,,,,,,,,,,,,,,,,108,275032
easy,simple,25,59,5,1,2,3,2,4,4,2,4,3,1,2,3,5,5,4,4,5,,,,,,,,,,,,,,,,,,,108,275032
easy,simple,26,53,5,1,2,2,3,4,4,1,4,3,3,1,1,4,3,4,3,5,,,,,,,,,,,,,,,,,,,108,275032
easy,simple,27,55,5,1,2,2,3,4,4,1,4,4,3,1,1,4,4,4,3,5,,,,,,,,,,,,,,,,,,,108,275032
easy,simple,28,61,5,5,3,4,4,4,4,1,4,3,2,1,1,4,4,4,3,5,,,,,,,,,,,,,,,,,,,108,275077
easy,simple,29,61,5,5,3,4,4,4,4,1,4,3,2,1,1,4,4,4,3,5,,,,,,,,,,,,,,,,,,,108,275077
easy,simple,30,66,5,5,3,5,2,4,4,2,4,3,2,2,5,5,3,4,3,5,,,,,,,,,,,,,,,,,,,108,275077
easy,simple,31,64,5,5,2,4,2,4,4,2,4,3,2,2,3,5,5,4,3,5,,,,,,,,,,,,,,,,,,,108,275077
easy,simple,32,68,5,5,4,5,3,4,5,1,5,3,2,1,1,5,5,5,4,5,,,,,,,,,,,,,,,,,,,108,275086
easy,simple,33,69,5,5,4,5,3,4,5,1,5,3,3,1,1,5,5,5,4,5,,,,,,,,,,,,,,,,,,,108,275086
easy,simple,34,59,5,5,2,4,4,5,4,1,4,4,1,1,1,4,4,4,3,3,,,,,,,,,,,,,,,,,,,108,275086
easy,simple,35,52,5,1,2,4,4,4,4,1,4,4,1,1,1,4,3,4,3,2,,,,,,,,,,,,,,,,,,,108,275086
easy,simple,36,52,1,1,2,3,3,4,4,1,4,3,1,1,1,5,4,5,4,5,,,,,,,,,,,,,,,,,,,108,275059
easy,simple,37,48,1,1,2,3,3,4,4,1,4,3,1,1,1,5,4,5,4,1,,,,,,,,,,,,,,,,,,,108,275059
easy,simple,38,77,5,5,4,5,3,4,4,5,4,2,3,5,5,5,4,5,4,5,,,,,,,,,,,,,,,,,,,108,275059
easy,simple,39,79,5,5,4,5,4,4,4,5,4,2,3,5,5,5,5,5,4,5,,,,,,,,,,,,,,,,,,,108,275059
easy,simple,40,55,1,1,2,3,2,5,5,1,5,3,2,1,1,5,5,4,4,5,,,,,,,,,,,,,,,,,,,108,275041
easy,simple,41,52,1,1,2,3,2,4,5,1,5,3,2,1,1,5,4,4,3,5,,,,,,,,,,,,,,,,,,,108,275041
easy,simple,42,69,5,5,4,4,3,4,3,1,4,3,3,5,4,5,4,5,2,5,,,,,,,,,,,,,,,,,,,108,275041
easy,simple,43,70,5,5,4,4,3,4,3,1,4,3,3,5,5,5,4,4,3,5,,,,,,,,,,,,,,,,,,,108,275041
easy,simple,44,50,5,1,2,3,3,4,4,1,4,2,1,1,1,4,4,4,3,3,,,,,,,,,,,,,,,,,,,108,275023
easy,simple,45,49,5,1,2,3,3,4,4,1,4,2,1,1,1,4,4,4,3,2,,,,,,,,,,,,,,,,,,,108,275023
easy,simple,46,44,1,1,1,1,2,4,4,1,4,3,1,1,1,5,5,4,4,1,,,,,,,,,,,,,,,,,,,108,275023
easy,simple,47,44,1,1,1,1,2,4,4,1,5,3,1,1,1,5,5,4,3,1,,,,,,,,,,,,,,,,,,,108,275023
easy,simple,48,79,5,5,4,5,3,5,4,4,4,3,3,5,5,5,5,5,4,5,,,,,,,,,,,,,,,,,,,108,275050
easy,simple,49,77,5,5,5,5,3,5,4,4,4,3,3,2,5,5,5,5,4,5,,,,,,,,,,,,,,,,,,,108,275050
easy,simple,50,73,5,5,4,5,4,4,4,2,4,4,2,1,5,5,5,5,4,5,,,,,,,,,,,,,,,,,,,108,275050
easy,simple,51,73,5,5,4,5,4,4,4,2,4,4,2,1,5,5,4,5,5,5,,,,,,,,,,,,,,,,,,,108,275050
easy,action+layout,0,81,5,5,5,5,4,5,5,5,4,3,1,5,5,5,5,5,4,5,,,,,,,,,,,,,,,,,,,108,275032
easy,action+layout,1,70,5,5,3,2,3,5,4,5,4,3,3,1,5,5,4,4,4,5,,,,,,,,,,,,,,,,,,,108,275032
easy,action+layout,2,72,5,5,2,4,4,4,4,5,4,3,3,1,5,5,5,5,3,5,,,,,,,,,,,,,,,,,,,108,275041
easy,action+layout,3,74,5,5,2,4,4,4,5,5,5,4,3,1,5,5,4,5,3,5,,,,,,,,,,,,,,,,,,,108,275041
easy,action+layout,4,69,5,5,2,5,3,4,4,2,4,3,2,1,5,5,5,5,4,5,,,,,,,,,,,,,,,,,,,108,275032
easy,action+layout,5,68,5,5,2,3,3,4,4,5,4,3,3,1,5,5,4,4,3,5,,,,,,,,,,,,,,,,,,,108,275032
easy,action+layout,6,78,5,5,2,4,3,4,5,5,5,3,4,5,5,5,5,5,3,5,,,,,,,,,,,,,,,,,,,108,275041
easy,action+layout,7,68,5,5,2,3,4,4,5,2,5,4,3,1,3,5,5,5,4,3,,,,,,,,,,,,,,,,,,,108,275041
easy,action+layout,8,49,1,1,2,2,2,4,4,1,4,3,1,1,1,5,5,4,3,5,,,,,,,,,,,,,,,,,,,108,275032
easy,action+layout,9,48,1,1,1,1,3,5,4,1,4,3,1,1,1,5,5,5,4,2,,,,,,,,,,,,,,,,,,,108,275032
easy,action+layout,10,62,5,5,2,3,3,3,3,3,3,3,3,5,4,3,2,4,3,5,,,,,,,,,,,,,,,,,,,108,275041
easy,action+layout,11,73,5,5,3,4,3,4,4,4,4,3,4,5,5,4,4,4,3,5,,,,,,,,,,,,,,,,,,,108,275041
easy,action+layout,12,79,5,5,5,5,4,5,4,5,4,3,1,5,5,5,5,5,3,5,,,,,,,,,,,,,,,,,,,108,275050
easy,action+layout,13,70,5,5,2,3,3,4,4,5,3,2,2,5,5,5,4,4,4,5,,,,,,,,,,,,,,,,,,,108,275050
easy,action+layout,14,72,5,5,3,3,3,4,3,5,4,4,5,5,5,4,2,4,3,5,,,,,,,,,,,,,,,,,,,108,275059
easy,action+layout,15,59,5,1,2,2,3,4,3,3,4,3,4,4,3,4,2,4,3,5,,,,,,,,,,,,,,,,,,,108,275059
easy,action+layout,16,65,5,5,2,5,3,4,5,1,5,3,1,1,1,5,5,5,4,5,,,,,,,,,,,,,,,,,,,108,275041
easy,action+layout,17,61,5,1,2,2,3,5,5,1,5,3,3,1,1,5,5,5,4,5,,,,,,,,,,,,,,,,,,,108,275041
easy,action+layout,18,72,5,5,2,5,3,5,4,3,4,3,2,4,5,5,4,5,3,5,,,,,,,,,,,,,,,,,,,108,275050
easy,action+layout,19,66,5,5,3,4,3,4,4,3,4,3,2,1,5,4,4,4,4,4,,,,,,,,,,,,,,,,,,,108,275050
easy,action+layout,20,68,5,5,4,5,3,5,4,2,4,3,1,1,2,5,5,5,4,5,,,,,,,,,,,,,,,,,,,108,275077
easy,action+layout,21,55,5,1,2,2,3,4,4,2,3,3,3,2,3,4,3,4,3,4,,,,,,,,,,,,,,,,,,,108,275077
easy,action+layout,22,63,5,5,2,3,3,4,4,2,4,3,2,1,3,5,5,4,3,5,,,,,,,,,,,,,,,,,,,108,275086
easy,action+layout,23,63,5,1,2,4,2,5,5,2,5,3,4,1,2,5,5,5,4,3,,,,,,,,,,,,,,,,,,,108,275086
easy,action+layout,24,46,1,1,1,1,2,4,5,1,5,3,1,1,1,5,5,5,3,1,,,,,,,,,,,,,,,,,,,108,275041
easy,action+layout,25,61,5,5,2,2,3,4,4,2,4,3,1,4,3,5,2,4,3,5,,,,,,,,,,,,,,,,,,,108,275041
easy,action+layout,26,72,5,5,4,3,3,4,2,5,3,3,3,5,5,5,5,4,3,5,,,,,,,,,,,,,,,,,,,108,275050
easy,action+layout,27,74,5,5,3,4,3,4,3,4,4,3,4,5,5,5,5,4,3,5,,,,,,,,,,,,,,,,,,,108,275050
easy,action+layout,28,79,5,5,4,5,4,4,4,4,4,4,3,5,5,5,4,5,4,5,,,,,,,,,,,,,,,,,,,108,275086
easy,action+layout,29,68,5,5,2,3,3,4,4,2,4,3,3,3,3,5,5,5,4,5,,,,,,,,,,,,,,,,,,,108,275086
