mode,prompt_type,id_,sum,score1,score2,score3,score4,score5,score6,score7,score8,score9,score10,score11,score12,score13,score14,score15,score16,score17,score18,reason1,reason2,reason3,reason4,reason5,reason6,reason7,reason8,reason9,reason10,reason11,reason12,reason13,reason14,reason15,reason16,reason17,reason18,comp_tok_sum,prompt_tok_sum
easy,simple,6,73,5,5,2,5,4,4,4,4,4,4,1,5,5,4,5,4,3,5,,,,,,,,,,,,,,,,,,,90,275095
easy,action+layout,37,73,5,5,2,3,4,4,5,4,4,3,1,5,5,5,5,5,3,5,,,,,,,,,,,,,,,,,,,90,275140
easy,action+expression,4,76,5,5,4,5,4,4,4,3,4,5,1,5,5,5,5,4,3,5,,,,,,,,,,,,,,,,,,,90,275140
easy,action+background,19,55,5,1,1,1,2,5,4,2,4,3,1,1,1,5,5,5,5,4,,,,,,,,,,,,,,,,,,,90,275158
easy,all,30,66,5,5,2,4,4,5,4,2,4,4,2,2,3,5,1,5,4,5,,,,,,,,,,,,,,,,,,,90,275239
easy,simple,42,82,5,5,5,5,4,4,4,5,5,4,3,5,5,5,5,5,3,5,,,,,,,,,,,,,,,,,,,90,275113
easy,action+layout,27,77,5,5,5,5,3,4,4,5,3,3,3,5,5,5,5,5,2,5,,,,,,,,,,,,,,,,,,,90,275122
easy,action+expression,0,79,5,5,2,5,4,5,5,5,4,4,1,5,5,5,5,5,4,5,,,,,,,,,,,,,,,,,,,90,275140
easy,action+background,8,66,5,5,4,4,1,4,4,5,1,1,2,5,4,4,5,4,3,5,,,,,,,,,,,,,,,,,,,90,275140
easy,all,38,70,5,5,2,4,3,5,2,4,2,1,3,5,5,5,5,5,4,5,,,,,,,,,,,,,,,,,,,90,275257
easy,simple,49,68,5,5,2,5,2,5,4,2,2,1,1,5,5,5,5,5,4,5,,,,,,,,,,,,,,,,,,,90,275122
easy,action+layout,34,52,5,5,2,3,3,4,3,1,2,3,1,1,1,4,5,3,3,3,,,,,,,,,,,,,,,,,,,90,275176
easy,action+expression,23,58,5,1,2,3,4,5,4,1,4,4,1,1,2,5,5,5,4,2,,,,,,,,,,,,,,,,,,,90,275167
easy,action+background,5,59,5,5,2,3,2,4,3,3,3,3,2,3,2,4,5,4,3,3,,,,,,,,,,,,,,,,,,,90,275140
easy,all,28,48,5,1,1,1,3,4,4,2,2,2,1,1,1,5,5,4,4,2,,,,,,,,,,,,,,,,,,,90,275239
easy,simple,9,66,1,5,4,4,3,4,3,4,3,4,1,5,5,4,4,4,3,5,,,,,,,,,,,,,,,,,,,90,275095
easy,action+layout,3,72,5,5,2,4,4,4,4,5,4,4,3,1,5,4,5,5,3,5,,,,,,,,,,,,,,,,,,,90,275113
easy,action+expression,16,72,5,5,4,5,3,4,4,5,3,1,1,5,5,4,5,5,3,5,,,,,,,,,,,,,,,,,,,90,275167
easy,action+background,50,70,5,5,2,4,4,4,4,2,4,4,1,2,5,5,5,5,4,5,,,,,,,,,,,,,,,,,,,90,275167
easy,all,2,58,5,5,2,3,3,3,4,1,4,4,4,2,3,4,1,4,3,3,,,,,,,,,,,,,,,,,,,90,275203
easy,simple,51,40,5,5,2,3,2,3,2,1,2,3,1,1,1,1,1,2,3,2,,,,,,,,,,,,,,,,,,,90,275122
easy,action+layout,32,60,5,5,2,4,4,4,3,2,3,3,1,1,1,4,5,4,4,5,,,,,,,,,,,,,,,,,,,90,275167
easy,action+expression,18,57,5,1,3,4,4,4,3,1,4,4,3,1,1,3,5,4,3,4,,,,,,,,,,,,,,,,,,,90,275131
easy,action+background,7,81,5,5,4,3,4,5,4,5,4,4,4,5,5,5,5,5,4,5,,,,,,,,,,,,,,,,,,,90,275140
easy,all,36,46,5,5,2,3,2,4,2,2,2,3,1,1,1,3,2,3,2,3,,,,,,,,,,,,,,,,,,,90,275221
easy,simple,33,57,5,1,2,5,4,4,4,1,3,1,1,1,2,5,5,4,4,5,,,,,,,,,,,,,,,,,,,90,275158
easy,action+layout,21,55,5,5,2,3,4,3,3,2,4,4,3,1,2,2,2,2,3,5,,,,,,,,,,,,,,,,,,,90,275149
easy,action+expression,44,52,5,5,2,4,2,3,2,4,2,1,1,4,3,2,1,3,3,5,,,,,,,,,,,,,,,,,,,90,275122
