mode,prompt_type,id_,sum,score1,score2,score3,score4,score5,score6,score7,score8,score9,score10,score11,score12,score13,score14,score15,score16,score17,score18,reason1,reason2,reason3,reason4,reason5,reason6,reason7,reason8,reason9,reason10,reason11,reason12,reason13,reason14,reason15,reason16,reason17,reason18,comp_tok_sum,prompt_tok_sum
easy,simple,6,76,5,5,4,5,4,4,3,5,3,4,3,5,5,4,5,4,3,5,,,,,,,,,,,,,,,,,,,90,275095
easy,action+layout,37,60,5,5,2,3,2,3,2,5,2,2,4,5,5,3,2,3,3,4,,,,,,,,,,,,,,,,,,,90,275140
easy,action+expression,4,79,5,5,5,5,3,4,4,5,3,4,5,5,5,4,5,4,3,5,,,,,,,,,,,,,,,,,,,90,275140
easy,action+background,19,81,5,5,4,5,4,4,5,5,4,4,4,5,5,5,5,4,3,5,,,,,,,,,,,,,,,,,,,90,275158
easy,all,30,39,1,1,1,1,1,5,1,1,1,2,1,1,1,5,5,5,5,1,,,,,,,,,,,,,,,,,,,90,275239
easy,simple,42,75,5,5,5,5,3,4,4,5,3,2,1,5,5,4,5,5,4,5,,,,,,,,,,,,,,,,,,,90,275113
easy,action+layout,27,62,5,5,3,4,2,3,3,5,1,2,1,5,5,4,2,4,3,5,,,,,,,,,,,,,,,,,,,90,275122
easy,action+expression,0,63,5,5,4,3,3,4,2,5,3,4,3,5,5,2,2,3,3,2,,,,,,,,,,,,,,,,,,,90,275140
easy,action+background,8,70,5,5,4,5,1,4,3,5,1,1,5,5,5,5,4,5,2,5,,,,,,,,,,,,,,,,,,,90,275140
easy,all,38,58,5,1,4,4,4,3,2,5,1,3,2,5,5,1,3,3,2,5,,,,,,,,,,,,,,,,,,,90,275257
easy,simple,49,63,5,5,3,4,4,4,4,2,2,4,1,1,2,5,5,4,3,5,,,,,,,,,,,,,,,,,,,90,275122
easy,action+layout,34,44,5,5,2,3,2,2,2,2,1,1,2,1,4,2,1,3,2,4,,,,,,,,,,,,,,,,,,,90,275176
easy,action+expression,23,67,5,5,2,5,4,4,3,2,4,4,1,3,5,5,5,4,2,4,,,,,,,,,,,,,,,,,,,90,275167
easy,action+background,5,73,5,5,5,4,2,5,3,5,1,1,5,5,5,5,5,4,3,5,,,,,,,,,,,,,,,,,,,90,275140
easy,all,28,58,5,5,2,4,2,4,3,2,2,2,3,2,2,4,5,4,4,3,,,,,,,,,,,,,,,,,,,90,275239
easy,simple,9,47,1,1,3,3,2,3,3,3,2,3,4,3,4,2,3,3,2,2,,,,,,,,,,,,,,,,,,,90,275095
easy,action+layout,3,67,5,5,2,4,3,4,4,4,1,3,4,1,5,5,4,5,3,5,,,,,,,,,,,,,,,,,,,90,275113
easy,action+expression,16,56,5,1,2,4,3,4,3,4,3,2,2,2,4,3,3,4,3,4,,,,,,,,,,,,,,,,,,,90,275167
easy,action+background,50,49,5,5,2,4,2,4,3,2,2,2,1,1,2,3,2,3,3,3,,,,,,,,,,,,,,,,,,,90,275167
easy,all,2,48,5,5,3,3,2,3,2,2,1,1,1,1,3,3,3,4,3,3,,,,,,,,,,,,,,,,,,,90,275203
easy,simple,51,56,5,1,2,3,4,4,4,1,4,3,1,1,1,5,5,4,3,5,,,,,,,,,,,,,,,,,,,90,275122
easy,action+layout,32,62,5,5,5,5,3,3,2,5,1,2,1,5,5,2,2,3,3,5,,,,,,,,,,,,,,,,,,,90,275167
easy,action+expression,18,58,5,5,2,5,3,4,4,1,3,3,1,1,2,4,3,4,3,5,,,,,,,,,,,,,,,,,,,90,275131
easy,action+background,7,71,5,5,4,4,3,4,3,4,2,2,4,5,5,5,4,4,3,5,,,,,,,,,,,,,,,,,,,90,275140
easy,all,36,64,5,5,4,4,2,3,3,3,2,1,4,4,5,3,5,4,3,4,,,,,,,,,,,,,,,,,,,90,275221
