mode,prompt_type,id_,sum,score1,score2,score3,score4,score5,score6,score7,score8,score9,score10,score11,score12,score13,score14,score15,score16,score17,score18,reason1,reason2,reason3,reason4,reason5,reason6,reason7,reason8,reason9,reason10,reason11,reason12,reason13,reason14,reason15,reason16,reason17,reason18,comp_tok_sum,prompt_tok_sum
easy,simple,0,68,5,5,3,5,2,5,5,5,3,3,5,5,5,1,1,2,3,5,,,,,,,,,,,,,,,,,,,108,11183
easy,simple,1,68,5,5,3,5,2,5,5,5,4,3,4,5,5,1,1,2,3,5,,,,,,,,,,,,,,,,,,,108,11183
easy,simple,2,65,5,5,2,5,2,2,5,5,4,4,3,5,5,1,1,3,3,5,,,,,,,,,,,,,,,,,,,108,11183
easy,simple,3,68,5,5,3,5,2,5,5,5,4,4,3,5,5,1,1,2,3,5,,,,,,,,,,,,,,,,,,,108,11183
easy,simple,4,48,5,1,3,5,2,5,2,2,4,3,4,1,2,1,1,2,3,2,,,,,,,,,,,,,,,,,,,108,11183
easy,simple,5,48,5,5,2,5,2,2,2,2,3,3,4,1,2,1,1,2,3,3,,,,,,,,,,,,,,,,,,,108,11183
easy,simple,6,50,5,5,2,2,2,5,5,1,4,3,4,1,1,1,1,2,3,3,,,,,,,,,,,,,,,,,,,108,11183
easy,simple,7,46,5,1,2,2,2,5,5,1,4,3,4,1,1,1,1,2,3,3,,,,,,,,,,,,,,,,,,,108,11183
easy,simple,8,49,5,1,2,5,2,5,4,1,4,3,3,1,1,1,1,2,3,5,,,,,,,,,,,,,,,,,,,108,11183
easy,simple,9,49,5,1,2,5,2,5,4,1,4,3,3,1,1,1,1,2,3,5,,,,,,,,,,,,,,,,,,,108,11183
easy,simple,10,48,5,5,2,5,2,2,4,1,3,2,3,1,2,1,1,2,3,4,,,,,,,,,,,,,,,,,,,108,11183
easy,simple,11,48,5,4,2,5,2,2,4,2,4,2,3,1,2,1,1,2,3,3,,,,,,,,,,,,,,,,,,,108,11183
easy,simple,12,52,5,5,3,5,2,2,2,4,3,3,3,1,5,1,1,2,3,2,,,,,,,,,,,,,,,,,,,108,11201
easy,simple,13,58,5,5,2,5,2,2,2,5,3,3,3,5,5,1,1,2,3,4,,,,,,,,,,,,,,,,,,,108,11201
easy,simple,14,66,5,5,5,5,2,2,4,5,4,3,4,5,5,1,1,2,3,5,,,,,,,,,,,,,,,,,,,108,11201
easy,simple,15,69,5,5,5,5,2,4,5,5,4,3,4,5,5,1,1,2,3,5,,,,,,,,,,,,,,,,,,,108,11201
easy,simple,16,57,5,5,4,5,2,5,4,2,4,3,3,1,2,1,1,2,3,5,,,,,,,,,,,,,,,,,,,108,11192
easy,simple,17,56,5,5,4,5,2,5,3,2,4,3,3,1,2,1,1,2,3,5,,,,,,,,,,,,,,,,,,,108,11192
easy,simple,18,44,5,5,2,5,2,2,2,1,3,2,3,1,1,1,1,2,3,3,,,,,,,,,,,,,,,,,,,108,11192
easy,simple,19,47,5,5,4,5,2,2,2,1,3,2,3,1,2,1,1,2,3,3,,,,,,,,,,,,,,,,,,,108,11192
easy,simple,20,51,5,5,4,5,2,2,2,1,2,4,4,1,2,1,1,2,3,5,,,,,,,,,,,,,,,,,,,108,11228
easy,simple,21,52,5,5,5,5,2,2,2,1,3,4,4,1,1,1,1,2,3,5,,,,,,,,,,,,,,,,,,,108,11228
easy,simple,22,54,5,5,2,5,2,5,5,1,3,3,3,1,1,1,1,3,3,5,,,,,,,,,,,,,,,,,,,108,11228
easy,simple,23,48,5,5,2,5,2,2,5,1,3,3,3,1,1,1,1,2,1,5,,,,,,,,,,,,,,,,,,,108,11228
easy,simple,24,48,5,5,2,3,2,5,2,1,3,3,4,1,1,1,1,2,3,4,,,,,,,,,,,,,,,,,,,108,11192
easy,simple,25,41,5,1,2,3,2,2,2,1,3,3,4,1,1,1,1,2,3,4,,,,,,,,,,,,,,,,,,,108,11192
easy,simple,26,45,5,4,2,2,2,2,2,1,4,4,4,1,1,1,1,2,3,4,,,,,,,,,,,,,,,,,,,108,11192
easy,simple,27,40,5,1,2,2,2,2,2,1,4,4,4,1,1,1,1,2,3,2,,,,,,,,,,,,,,,,,,,108,11192
easy,simple,28,42,5,1,2,5,2,2,2,1,3,4,3,1,1,1,1,2,3,3,,,,,,,,,,,,,,,,,,,108,11237
easy,simple,29,45,5,5,2,5,2,2,2,1,3,4,3,1,1,1,1,2,3,2,,,,,,,,,,,,,,,,,,,108,11237
easy,simple,30,48,5,4,2,5,2,5,2,1,2,3,3,1,1,1,1,2,3,5,,,,,,,,,,,,,,,,,,,108,11237
easy,simple,31,39,3,1,2,3,2,2,2,1,3,3,3,1,1,1,1,2,3,5,,,,,,,,,,,,,,,,,,,108,11237
easy,simple,32,49,5,1,2,5,2,5,5,1,3,3,3,1,1,1,1,2,3,5,,,,,,,,,,,,,,,,,,,108,11246
easy,simple,33,49,5,1,2,5,2,5,4,1,4,3,3,1,1,1,1,2,3,5,,,,,,,,,,,,,,,,,,,108,11246
easy,simple,34,45,5,5,2,5,2,2,2,1,3,4,3,1,1,1,1,2,1,4,,,,,,,,,,,,,,,,,,,108,11246
easy,simple,35,47,5,5,2,5,2,2,2,1,3,4,3,1,1,1,1,2,3,4,,,,,,,,,,,,,,,,,,,108,11246
easy,simple,36,55,5,5,5,5,2,2,2,5,4,3,3,1,1,1,1,2,3,5,,,,,,,,,,,,,,,,,,,108,11219
easy,simple,37,62,5,5,5,5,2,5,2,5,4,3,3,5,1,1,1,2,3,5,,,,,,,,,,,,,,,,,,,108,11219
