mode,prompt_type,id_,sum,score1,score2,score3,score4,score5,score6,score7,score8,score9,score10,score11,score12,score13,score14,score15,score16,score17,score18,reason1,reason2,reason3,reason4,reason5,reason6,reason7,reason8,reason9,reason10,reason11,reason12,reason13,reason14,reason15,reason16,reason17,reason18,comp_tok_sum,prompt_tok_sum
easy,simple,0,66,5,5,2,3,4,5,5,5,4,5,3,5,1,1,1,4,3,5,,,,,,,,,,,,,,,,,,,90,11255
easy,simple,1,58,5,5,2,3,2,2,5,5,3,5,3,5,5,1,1,2,1,3,,,,,,,,,,,,,,,,,,,90,11255
easy,simple,2,61,5,1,5,5,5,2,2,3,4,5,3,5,5,1,1,2,3,4,,,,,,,,,,,,,,,,,,,90,11255
easy,simple,3,70,5,5,2,5,5,5,4,5,4,4,3,5,5,1,1,3,3,5,,,,,,,,,,,,,,,,,,,90,11255
easy,simple,4,67,5,5,2,5,2,5,3,5,3,4,4,5,5,1,1,4,3,5,,,,,,,,,,,,,,,,,,,90,11255
easy,simple,5,67,5,5,2,5,5,5,5,5,4,5,3,3,5,1,1,2,1,5,,,,,,,,,,,,,,,,,,,90,11255
easy,simple,6,66,5,5,2,5,2,5,3,5,4,5,3,5,5,1,1,2,3,5,,,,,,,,,,,,,,,,,,,90,11255
easy,simple,7,62,5,5,2,5,5,2,2,5,2,4,3,5,5,1,1,2,3,5,,,,,,,,,,,,,,,,,,,90,11255
easy,simple,8,41,1,1,2,5,2,2,4,1,4,3,3,1,1,1,1,2,3,4,,,,,,,,,,,,,,,,,,,90,11255
easy,simple,9,55,5,5,2,3,2,5,2,5,3,4,3,5,5,1,1,2,1,1,,,,,,,,,,,,,,,,,,,90,11255
easy,simple,10,63,5,5,2,5,2,2,2,5,4,4,3,5,5,1,1,4,3,5,,,,,,,,,,,,,,,,,,,90,11255
easy,simple,11,46,5,5,2,5,2,2,2,2,2,4,3,1,2,1,1,2,3,2,,,,,,,,,,,,,,,,,,,90,11255
easy,simple,12,63,5,5,2,5,5,5,5,2,4,5,3,1,2,1,5,2,1,5,,,,,,,,,,,,,,,,,,,90,11273
easy,simple,13,56,5,5,2,5,5,2,2,2,4,4,3,1,2,1,1,4,3,5,,,,,,,,,,,,,,,,,,,90,11273
easy,simple,14,56,5,5,2,5,5,5,5,1,4,5,3,1,2,1,1,2,1,3,,,,,,,,,,,,,,,,,,,90,11273
easy,simple,15,49,5,1,4,5,2,2,2,2,4,5,3,1,3,1,1,2,3,3,,,,,,,,,,,,,,,,,,,90,11273
easy,simple,16,44,1,1,2,5,4,2,4,1,4,5,3,1,1,1,1,2,3,3,,,,,,,,,,,,,,,,,,,90,11264
easy,simple,17,45,5,2,4,5,2,2,2,1,3,3,3,1,2,1,1,2,3,3,,,,,,,,,,,,,,,,,,,90,11264
easy,simple,18,46,1,4,2,3,2,5,5,1,4,4,3,1,1,1,1,2,3,3,,,,,,,,,,,,,,,,,,,90,11264
easy,simple,19,49,5,5,2,5,2,2,4,1,3,3,3,1,1,1,1,2,3,5,,,,,,,,,,,,,,,,,,,90,11264
easy,simple,20,69,5,5,5,5,2,5,4,5,4,4,3,5,5,1,1,2,3,5,,,,,,,,,,,,,,,,,,,90,11300
easy,simple,21,64,5,5,2,5,5,5,5,1,4,5,4,1,1,1,5,2,3,5,,,,,,,,,,,,,,,,,,,90,11300
easy,simple,22,65,5,5,2,5,5,5,5,1,4,5,3,1,1,5,5,2,1,5,,,,,,,,,,,,,,,,,,,90,11300
easy,simple,23,59,5,5,2,5,5,5,5,1,4,5,3,1,1,1,1,2,3,5,,,,,,,,,,,,,,,,,,,90,11300
easy,simple,24,69,5,5,4,5,5,2,4,5,4,5,3,5,5,1,1,2,3,5,,,,,,,,,,,,,,,,,,,90,11264
easy,simple,25,62,5,5,5,5,2,2,2,5,3,5,3,5,5,1,1,2,1,5,,,,,,,,,,,,,,,,,,,90,11264
easy,simple,26,66,5,5,5,5,2,5,2,5,4,3,3,5,5,1,1,2,3,5,,,,,,,,,,,,,,,,,,,90,11264
easy,simple,27,59,5,5,3,5,2,2,2,5,2,3,3,5,5,1,1,2,3,5,,,,,,,,,,,,,,,,,,,90,11264
easy,simple,28,51,5,4,2,4,4,2,4,1,4,5,3,1,1,1,1,2,3,4,,,,,,,,,,,,,,,,,,,90,11309
easy,simple,29,55,5,5,2,5,2,5,5,1,4,4,3,1,1,1,1,4,3,3,,,,,,,,,,,,,,,,,,,90,11309
easy,simple,30,57,5,5,2,5,5,5,5,1,4,5,3,1,1,1,1,2,3,3,,,,,,,,,,,,,,,,,,,90,11309
easy,simple,31,55,5,4,2,5,5,2,5,1,4,5,3,1,1,1,1,4,1,5,,,,,,,,,,,,,,,,,,,90,11309
easy,simple,32,62,5,1,2,5,5,5,5,1,4,5,3,1,1,5,5,2,3,4,,,,,,,,,,,,,,,,,,,90,11318
easy,simple,33,43,5,5,2,4,2,2,4,1,4,2,3,1,1,1,1,2,1,2,,,,,,,,,,,,,,,,,,,90,11318
easy,simple,34,49,5,5,2,5,2,2,3,1,3,4,3,1,1,1,1,2,3,5,,,,,,,,,,,,,,,,,,,90,11318
easy,simple,35,58,5,5,2,5,5,5,4,1,4,5,3,1,1,1,1,2,3,5,,,,,,,,,,,,,,,,,,,90,11318
easy,simple,36,77,5,5,5,5,5,5,5,5,2,5,4,5,5,5,1,2,3,5,,,,,,,,,,,,,,,,,,,90,11291
easy,simple,37,62,5,5,5,5,2,2,2,5,3,2,3,5,5,1,1,3,3,5,,,,,,,,,,,,,,,,,,,90,11291
easy,simple,38,57,5,5,2,5,2,2,2,5,4,2,3,5,5,1,1,2,1,5,,,,,,,,,,,,,,,,,,,90,11291
easy,simple,39,61,5,5,2,5,2,2,4,5,4,2,3,5,5,1,1,2,3,5,,,,,,,,,,,,,,,,,,,90,11291
easy,simple,40,76,5,5,5,5,5,5,5,5,4,4,3,5,5,1,1,5,3,5,,,,,,,,,,,,,,,,,,,90,11273
easy,simple,41,65,5,5,5,5,2,5,2,5,3,4,3,5,5,1,1,4,3,2,,,,,,,,,,,,,,,,,,,90,11273
easy,simple,42,68,5,5,5,5,5,2,3,5,4,4,3,5,5,1,1,2,3,5,,,,,,,,,,,,,,,,,,,90,11273
easy,simple,43,66,5,5,5,5,2,5,2,5,4,3,3,5,5,1,1,2,3,5,,,,,,,,,,,,,,,,,,,90,11273
easy,simple,44,56,5,5,2,5,2,2,2,5,2,4,3,5,4,1,1,2,3,3,,,,,,,,,,,,,,,,,,,90,11255
easy,simple,45,37,5,1,2,3,2,2,2,1,2,3,3,1,1,1,1,2,3,2,,,,,,,,,,,,,,,,,,,90,11255
easy,simple,46,50,5,1,4,5,4,2,2,1,2,5,3,1,5,1,1,2,3,3,,,,,,,,,,,,,,,,,,,90,11255
easy,simple,47,64,5,5,3,5,5,2,5,3,3,5,3,5,2,1,1,3,3,5,,,,,,,,,,,,,,,,,,,90,11255
easy,simple,48,47,5,5,4,5,2,2,2,1,3,2,3,1,1,1,1,2,3,4,,,,,,,,,,,,,,,,,,,90,11282
easy,simple,49,52,5,1,2,5,2,5,5,1,3,2,3,1,1,1,5,2,3,5,,,,,,,,,,,,,,,,,,,90,11282
easy,simple,50,50,5,5,2,5,2,2,2,1,3,4,3,1,3,1,1,2,3,5,,,,,,,,,,,,,,,,,,,90,11282
easy,simple,51,49,5,5,4,5,2,2,5,1,2,4,3,1,1,1,1,2,3,2,,,,,,,,,,,,,,,,,,,90,11282
easy,action+layout,0,74,5,5,5,5,5,5,5,5,4,5,3,5,5,1,1,2,3,5,,,,,,,,,,,,,,,,,,,90,11264
easy,action+layout,1,62,5,5,2,2,2,5,4,5,2,4,3,5,5,1,1,5,1,5,,,,,,,,,,,,,,,,,,,90,11264
easy,action+layout,2,77,5,5,5,5,4,5,5,5,4,5,4,5,5,1,1,5,3,5,,,,,,,,,,,,,,,,,,,90,11273
easy,action+layout,3,69,5,5,3,5,5,5,4,5,3,4,3,5,5,1,1,2,3,5,,,,,,,,,,,,,,,,,,,90,11273
easy,action+layout,4,70,5,5,2,5,5,5,4,5,4,5,3,5,5,1,1,2,3,5,,,,,,,,,,,,,,,,,,,90,11264
easy,action+layout,5,56,5,5,2,2,2,2,2,5,4,5,3,5,5,1,1,2,3,2,,,,,,,,,,,,,,,,,,,90,11264
easy,action+layout,6,58,5,5,3,5,5,2,4,1,4,5,3,1,5,1,1,2,1,5,,,,,,,,,,,,,,,,,,,90,11273
easy,action+layout,7,68,5,5,2,5,5,5,5,5,1,5,3,5,5,1,1,2,3,5,,,,,,,,,,,,,,,,,,,90,11273
easy,action+layout,8,68,5,5,5,5,2,5,4,5,4,2,3,5,5,1,1,5,1,5,,,,,,,,,,,,,,,,,,,90,11264
easy,action+layout,9,48,5,1,2,2,2,2,2,5,3,5,3,1,5,1,1,2,3,3,,,,,,,,,,,,,,,,,,,90,11264
easy,action+layout,10,63,5,5,5,5,2,5,2,5,2,3,4,5,5,1,1,2,3,3,,,,,,,,,,,,,,,,,,,90,11273
easy,action+layout,11,38,5,5,2,2,2,2,2,1,2,4,3,1,1,1,1,1,1,2,,,,,,,,,,,,,,,,,,,90,11273
easy,action+layout,12,56,5,4,2,5,2,5,5,1,3,3,3,1,1,1,5,2,3,5,,,,,,,,,,,,,,,,,,,90,11282
easy,action+layout,13,61,5,5,2,2,4,2,4,5,4,3,3,5,5,1,1,2,3,5,,,,,,,,,,,,,,,,,,,90,11282
easy,action+layout,14,62,5,5,4,5,5,2,5,1,4,5,3,1,1,5,1,2,3,5,,,,,,,,,,,,,,,,,,,90,11291
easy,action+layout,15,50,5,5,2,5,2,2,2,1,3,2,3,1,5,1,1,2,3,5,,,,,,,,,,,,,,,,,,,90,11291
easy,action+layout,16,48,1,1,2,3,2,5,5,1,3,5,3,1,1,1,5,2,3,4,,,,,,,,,,,,,,,,,,,90,11273
easy,action+layout,17,48,5,5,2,1,4,2,4,2,4,5,1,1,5,1,1,2,1,2,,,,,,,,,,,,,,,,,,,90,11273
easy,action+layout,18,47,5,5,5,5,2,2,1,1,2,2,4,1,1,1,1,2,3,4,,,,,,,,,,,,,,,,,,,90,11282
easy,action+layout,19,57,5,4,2,5,5,5,5,1,3,5,3,1,1,1,1,2,3,5,,,,,,,,,,,,,,,,,,,90,11282
easy,action+layout,20,67,5,5,5,5,5,2,2,5,2,4,3,5,5,1,1,4,3,5,,,,,,,,,,,,,,,,,,,90,11309
easy,action+layout,21,47,5,5,2,3,5,2,2,1,2,4,3,1,1,1,1,2,3,4,,,,,,,,,,,,,,,,,,,90,11309
easy,action+layout,22,73,5,5,5,5,5,5,5,5,4,4,3,5,5,1,1,2,3,5,,,,,,,,,,,,,,,,,,,90,11318
easy,action+layout,23,56,5,5,2,5,5,5,5,1,3,5,3,1,1,1,1,2,1,5,,,,,,,,,,,,,,,,,,,90,11318
easy,action+layout,24,67,5,5,5,5,2,5,2,5,4,4,3,5,5,1,1,2,3,5,,,,,,,,,,,,,,,,,,,90,11273
easy,action+layout,25,52,5,5,2,1,2,2,2,5,4,4,1,5,4,1,1,2,3,3,,,,,,,,,,,,,,,,,,,90,11273
easy,action+layout,26,65,5,5,5,5,2,2,4,5,3,4,3,5,5,1,1,2,3,5,,,,,,,,,,,,,,,,,,,90,11282
easy,action+layout,27,62,5,5,5,5,2,2,2,5,3,3,3,5,5,1,1,2,3,5,,,,,,,,,,,,,,,,,,,90,11282
easy,action+layout,28,46,5,4,2,3,2,2,5,1,3,3,3,1,1,1,1,3,3,3,,,,,,,,,,,,,,,,,,,90,11318
easy,action+layout,29,40,1,1,2,2,4,5,4,1,2,4,3,1,1,1,1,2,3,2,,,,,,,,,,,,,,,,,,,90,11318
easy,action+layout,30,51,5,5,5,5,2,2,2,1,3,3,4,1,1,1,1,2,3,5,,,,,,,,,,,,,,,,,,,90,11327
easy,action+layout,31,25,1,1,1,1,2,2,1,1,2,2,3,1,1,1,1,1,1,2,,,,,,,,,,,,,,,,,,,90,11327
easy,action+layout,32,49,5,1,2,5,2,5,4,1,4,5,3,1,1,1,1,2,1,5,,,,,,,,,,,,,,,,,,,90,11327
