mode,prompt_type,id_,sum,score1,score2,score3,score4,score5,score6,score7,score8,score9,score10,score11,score12,score13,score14,score15,score16,score17,score18,reason1,reason2,reason3,reason4,reason5,reason6,reason7,reason8,reason9,reason10,reason11,reason12,reason13,reason14,reason15,reason16,reason17,reason18,comp_tok_sum,prompt_tok_sum
easy,simple,0,55,5,5,2,2,4,2,2,5,1,4,3,5,5,1,1,2,1,5,,,,,,,,,,,,,,,,,,,90,11255
easy,simple,1,57,5,5,5,5,2,2,2,5,2,3,3,5,5,1,1,2,1,3,,,,,,,,,,,,,,,,,,,90,11255
easy,simple,2,68,5,5,2,5,2,5,4,5,3,3,3,5,5,1,5,5,3,2,,,,,,,,,,,,,,,,,,,90,11255
easy,simple,3,54,5,5,3,3,2,2,2,5,2,3,3,5,5,1,1,2,3,2,,,,,,,,,,,,,,,,,,,90,11255
easy,simple,4,63,5,5,5,5,2,5,2,5,3,2,5,5,5,1,1,2,3,2,,,,,,,,,,,,,,,,,,,90,11255
easy,simple,5,52,5,1,2,3,2,5,5,1,4,3,3,1,1,1,5,5,3,2,,,,,,,,,,,,,,,,,,,90,11255
easy,simple,6,55,5,5,2,2,2,2,2,5,2,3,3,5,5,1,1,2,3,5,,,,,,,,,,,,,,,,,,,90,11255
easy,simple,7,55,5,5,2,5,2,2,2,5,1,3,3,5,5,1,1,2,1,5,,,,,,,,,,,,,,,,,,,90,11255
easy,simple,8,64,5,5,5,4,2,5,3,5,2,4,4,5,5,1,1,2,3,3,,,,,,,,,,,,,,,,,,,90,11255
easy,simple,9,54,5,1,5,1,4,2,2,5,2,3,5,5,5,1,1,2,3,2,,,,,,,,,,,,,,,,,,,90,11255
easy,simple,10,41,5,0,2,1,2,5,5,1,3,3,3,1,1,1,1,2,3,2,,,,,,,,,,,,,,,,,,,90,11255
easy,simple,11,68,5,5,5,5,2,5,5,5,2,2,5,5,5,1,1,2,3,5,,,,,,,,,,,,,,,,,,,90,11255
easy,simple,12,57,5,5,2,5,2,2,2,5,4,3,3,5,5,1,1,2,3,2,,,,,,,,,,,,,,,,,,,90,11273
easy,simple,13,56,5,5,2,5,2,2,2,5,3,2,4,5,5,1,1,2,3,2,,,,,,,,,,,,,,,,,,,90,11273
easy,simple,14,67,5,5,5,5,2,5,4,5,4,4,3,5,5,1,1,2,1,5,,,,,,,,,,,,,,,,,,,90,11273
easy,simple,15,64,5,5,4,5,2,5,3,5,2,3,3,5,5,1,1,2,3,5,,,,,,,,,,,,,,,,,,,90,11273
easy,simple,16,46,5,5,2,5,2,5,2,1,2,4,3,1,1,1,1,2,3,1,,,,,,,,,,,,,,,,,,,90,11264
easy,simple,17,59,5,5,5,5,2,2,2,5,2,4,3,5,5,1,1,2,3,2,,,,,,,,,,,,,,,,,,,90,11264
easy,simple,18,50,5,5,2,3,2,2,4,2,3,2,3,1,2,1,1,4,3,5,,,,,,,,,,,,,,,,,,,90,11264
easy,simple,19,51,5,1,2,5,2,2,4,1,3,3,3,1,3,1,5,2,3,5,,,,,,,,,,,,,,,,,,,90,11264
easy,simple,20,53,5,5,2,5,2,2,2,5,1,3,3,5,1,1,1,2,3,5,,,,,,,,,,,,,,,,,,,90,11300
easy,simple,21,50,5,5,4,5,2,5,3,1,2,3,3,1,1,1,1,3,3,2,,,,,,,,,,,,,,,,,,,90,11300
easy,simple,22,65,5,5,5,2,4,2,2,5,2,4,3,5,5,1,5,2,3,5,,,,,,,,,,,,,,,,,,,90,11300
easy,simple,23,53,5,5,2,3,2,2,2,5,1,4,3,5,5,1,1,2,1,4,,,,,,,,,,,,,,,,,,,90,11300
easy,simple,24,60,5,5,4,3,2,2,2,5,2,3,5,5,5,1,1,2,3,5,,,,,,,,,,,,,,,,,,,90,11264
easy,simple,25,54,5,5,4,5,2,4,2,5,2,4,3,1,2,1,1,2,1,5,,,,,,,,,,,,,,,,,,,90,11264
easy,simple,26,57,5,5,4,5,2,2,2,5,2,2,4,5,5,1,1,2,1,4,,,,,,,,,,,,,,,,,,,90,11264
easy,simple,27,68,5,5,5,5,2,5,2,5,2,3,5,5,5,1,1,4,3,5,,,,,,,,,,,,,,,,,,,90,11264
easy,simple,28,58,5,5,5,5,2,2,4,2,2,3,3,5,5,1,1,2,3,3,,,,,,,,,,,,,,,,,,,90,11309
easy,simple,29,64,5,5,3,5,2,5,5,5,1,3,3,5,5,1,1,2,3,5,,,,,,,,,,,,,,,,,,,90,11309
easy,simple,30,50,5,1,2,5,2,2,2,5,1,4,3,5,5,1,1,2,3,1,,,,,,,,,,,,,,,,,,,90,11309
easy,simple,31,28,1,1,2,1,2,5,1,1,1,2,1,1,1,1,1,2,1,3,,,,,,,,,,,,,,,,,,,90,11309
easy,simple,32,41,5,1,2,2,4,2,2,1,1,4,1,1,5,1,1,2,3,3,,,,,,,,,,,,,,,,,,,90,11318
easy,simple,33,55,5,5,2,5,2,2,2,5,1,3,3,1,5,5,1,2,3,3,,,,,,,,,,,,,,,,,,,90,11318
easy,simple,34,48,5,1,2,5,5,2,4,1,3,3,3,1,1,1,1,2,3,5,,,,,,,,,,,,,,,,,,,90,11318
easy,simple,35,40,5,1,2,1,2,5,3,1,1,3,3,1,1,1,1,2,3,4,,,,,,,,,,,,,,,,,,,90,11318
easy,simple,36,61,5,5,5,5,2,2,2,5,3,3,5,5,5,1,1,2,3,2,,,,,,,,,,,,,,,,,,,90,11291
easy,simple,37,66,5,5,5,5,2,2,5,5,2,3,5,5,5,1,1,2,3,5,,,,,,,,,,,,,,,,,,,90,11291
