mode,prompt_type,id_,score,reason,comp_tok_sum,prompt_tok_sum
easy,simple,6,8,,5,652
easy,action+layout,37,8,,5,657
easy,action+expression,4,7,,5,657
easy,action+background,19,7,,5,659
easy,all,30,2,,5,668
easy,simple,42,8,,5,654
easy,action+layout,27,7,,5,655
easy,action+expression,0,9,,5,657
easy,action+background,8,6,,5,657
easy,all,38,3,,5,670
easy,simple,49,6,,5,655
easy,action+layout,34,4,,5,661
easy,action+expression,23,7,,5,660
easy,action+background,5,8,,5,657
easy,all,28,4,,5,668
easy,simple,9,7,,5,652
easy,action+layout,3,7,,5,654
easy,action+expression,16,6,,5,660
easy,action+background,50,4,,5,660
easy,all,2,7,,5,664
easy,simple,51,4,,5,655
easy,action+layout,32,3,,5,660
easy,action+expression,18,6,,5,656
easy,action+background,7,7,,5,657
easy,all,36,7,,5,666
easy,simple,33,3,,5,659
easy,action+layout,21,7,,5,658
easy,action+expression,44,3,,5,655
easy,action+background,1,5,,5,658
easy,all,47,6,,5,663
easy,simple,15,8,,5,654
easy,action+layout,22,7,,5,659
easy,action+expression,45,7,,5,656
easy,action+background,43,7,,5,659
easy,all,17,3,,5,666
easy,simple,24,5,,5,653
easy,action+layout,41,5,,5,655
easy,action+expression,29,5,,5,661
easy,action+background,11,7,,5,658
easy,all,14,3,,5,669
medium,simple,37,3,,5,914
medium,action+layout,49,3,,5,929
medium,action+expression,29,5,,5,920
medium,action+background,48,1,,5,919
medium,all,20,6,,5,937
medium,simple,25,5,,5,911
medium,action+layout,18,3,,5,927
medium,action+expression,22,3,,5,925
medium,action+background,33,3,,5,923
medium,all,11,5,,5,934
medium,simple,43,3,,5,912
medium,action+layout,7,4,,5,924
medium,action+expression,9,6,,5,920
medium,action+background,46,3,,5,919
medium,all,16,4,,5,928
medium,simple,23,3,,5,915
medium,action+layout,47,4,,5,921
medium,action+expression,4,5,,5,924
medium,action+background,30,6,,5,921
medium,all,1,5,,5,933
medium,simple,39,3,,5,914
medium,action+layout,14,3,,5,918
medium,action+expression,32,4,,5,920
medium,action+background,31,1,,5,924
medium,all,27,4,,5,929
medium,simple,12,4,,5,912
medium,action+layout,19,4,,5,920
medium,action+expression,45,4,,5,919
medium,action+background,44,6,,5,920
medium,all,13,5,,5,937
medium,simple,28,3,,5,916
medium,action+layout,0,3,,5,921
medium,action+expression,38,4,,5,925
medium,action+background,15,3,,5,918
medium,all,36,4,,5,940
medium,simple,42,3,,5,912
medium,action+layout,40,3,,5,922
medium,action+expression,8,4,,5,915
medium,action+background,10,6,,5,916
medium,all,51,4,,5,942
hard,simple,77,2,,5,913
hard,action+layout,21,4,,5,919
hard,action+expression,28,2,,5,922
hard,action+background,87,5,,5,918
hard,all,32,5,,5,931
hard,simple,58,3,,5,915
hard,action+layout,42,4,,5,918
hard,action+expression,16,3,,5,921
hard,action+background,11,6,,5,915
hard,all,72,3,,5,937
hard,simple,89,3,,5,914
hard,action+layout,51,3,,5,921
hard,action+expression,50,5,,5,922
hard,action+background,15,4,,5,919
hard,all,17,3,,5,932
hard,simple,47,2,,5,910
hard,action+layout,26,4,,5,923
hard,action+expression,13,3,,5,917
hard,action+background,63,5,,5,918
hard,all,71,5,,5,944
hard,simple,40,4,,5,913
hard,action+layout,59,6,,5,926
hard,action+expression,84,4,,5,922
hard,action+background,24,3,,5,917
hard,all,25,3,,5,933
hard,simple,1,1,,5,909
hard,action+layout,45,3,,5,920
hard,action+expression,69,4,,5,924
hard,action+background,34,4,,5,917
hard,all,82,4,,5,928
hard,simple,20,4,,5,909
hard,action+layout,30,3,,5,922
hard,action+expression,4,4,,5,919
hard,action+background,91,6,,5,920
hard,all,88,3,,5,942
hard,simple,79,3,,5,913
hard,action+layout,70,3,,5,922
hard,action+expression,8,3,,5,919
hard,action+background,6,3,,5,914
hard,all,81,6,,5,934
