method,mode,prompt_type,id_,01,02,03,04,05,06,07,08,09,10,11,12
01_CustomDiffusion,easy,action+background,1,3.0,3.0,1.0,3.0,7.0,7.0,4.0,1.0,7.0,4.0,2.0,7.0
01_CustomDiffusion,easy,action+background,11,3.0,4.0,1.0,2.0,6.0,6.0,7.0,3.0,8.0,9.0,2.0,7.0
01_CustomDiffusion,easy,action+background,19,5.0,1.0,3.0,1.0,4.0,7.0,6.0,2.0,8.0,3.0,4.0,5.0
01_CustomDiffusion,easy,action+background,43,4.0,3.0,2.0,3.0,6.0,8.0,8.0,6.0,10.0,8.0,3.0,4.0
01_CustomDiffusion,easy,action+background,5,6.0,3.0,2.0,6.0,3.0,7.0,8.0,4.0,10.0,8.0,2.0,6.0
01_CustomDiffusion,easy,action+background,50,4.0,4.0,3.0,3.0,5.0,6.0,8.0,6.0,7.0,5.0,2.0,5.0
01_CustomDiffusion,easy,action+background,7,3.0,5.0,5.0,5.0,4.0,7.0,10.0,7.0,10.0,10.0,6.0,8.0
01_CustomDiffusion,easy,action+background,8,5.0,3.0,3.0,5.0,5.0,7.0,9.0,3.0,10.0,6.0,3.0,5.0
01_CustomDiffusion,easy,action+expression,0,7.0,5.0,6.0,8.0,6.0,9.0,10.0,7.0,10.0,10.0,7.0,9.0
01_CustomDiffusion,easy,action+expression,16,3.0,1.0,2.0,5.0,5.0,5.0,6.0,4.0,9.0,10.0,1.0,5.0
01_CustomDiffusion,easy,action+expression,18,2.0,3.0,2.0,1.0,3.0,4.0,6.0,1.0,7.0,4.0,1.0,6.0
01_CustomDiffusion,easy,action+expression,23,4.0,6.0,6.0,5.0,7.0,7.0,10.0,8.0,10.0,8.0,7.0,5.0
01_CustomDiffusion,easy,action+expression,29,2.0,2.0,1.0,1.0,2.0,5.0,6.0,1.0,8.0,7.0,2.0,5.0
01_CustomDiffusion,easy,action+expression,4,5.0,4.0,3.0,4.0,5.0,6.0,6.0,7.0,8.0,5.0,3.0,5.0
01_CustomDiffusion,easy,action+expression,44,2.0,2.0,2.0,3.0,2.0,5.0,4.0,1.0,4.0,5.0,1.0,5.0
01_CustomDiffusion,easy,action+expression,45,4.0,3.0,3.0,4.0,5.0,7.0,6.0,5.0,10.0,10.0,2.0,6.0
01_CustomDiffusion,easy,action+layout,21,5.0,3.0,3.0,2.0,6.0,8.0,6.0,6.0,9.0,5.0,7.0,6.0
01_CustomDiffusion,easy,action+layout,22,3.0,2.0,4.0,3.0,7.0,6.0,4.0,5.0,7.0,6.0,2.0,6.0
01_CustomDiffusion,easy,action+layout,27,3.0,2.0,1.0,1.0,3.0,5.0,6.0,1.0,8.0,4.0,2.0,3.0
01_CustomDiffusion,easy,action+layout,3,4.0,3.0,1.0,4.0,3.0,6.0,6.0,3.0,8.0,5.0,1.0,6.0
01_CustomDiffusion,easy,action+layout,32,2.0,2.0,2.0,3.0,3.0,5.0,4.0,1.0,2.0,5.0,1.0,5.0
01_CustomDiffusion,easy,action+layout,34,2.0,1.0,1.0,1.0,2.0,4.0,2.0,2.0,2.0,2.0,1.0,2.0
01_CustomDiffusion,easy,action+layout,37,8.0,5.0,3.0,3.0,5.0,7.0,6.0,3.0,8.0,5.0,8.0,6.0
01_CustomDiffusion,easy,action+layout,41,3.0,4.0,3.0,2.0,5.0,6.0,10.0,3.0,10.0,8.0,1.0,5.0
01_CustomDiffusion,easy,all,14,1.0,2.0,1.0,1.0,3.0,3.0,2.0,1.0,1.0,4.0,1.0,4.0
01_CustomDiffusion,easy,all,17,2.0,2.0,1.0,3.0,5.0,6.0,3.0,1.0,5.0,6.0,1.0,4.0
01_CustomDiffusion,easy,all,2,5.0,4.0,2.0,4.0,6.0,7.0,9.0,7.0,8.0,9.0,3.0,6.0
01_CustomDiffusion,easy,all,28,3.0,1.0,1.0,1.0,3.0,5.0,4.0,1.0,7.0,4.0,1.0,2.0
01_CustomDiffusion,easy,all,30,1.0,1.0,1.0,1.0,2.0,4.0,2.0,1.0,1.0,2.0,2.0,2.0
01_CustomDiffusion,easy,all,36,3.0,4.0,1.0,3.0,4.0,7.0,10.0,5.0,9.0,9.0,6.0,8.0
01_CustomDiffusion,easy,all,38,4.0,3.0,2.0,3.0,2.0,6.0,4.0,2.0,6.0,3.0,1.0,2.0
01_CustomDiffusion,easy,all,47,4.0,3.0,2.0,3.0,7.0,6.0,9.0,4.0,8.0,6.0,2.0,5.0
01_CustomDiffusion,easy,simple,15,4.0,2.0,2.0,2.0,7.0,7.0,10.0,6.0,9.0,6.0,4.0,8.0
01_CustomDiffusion,easy,simple,24,3.0,4.0,1.0,3.0,6.0,7.0,8.0,5.0,10.0,10.0,1.0,5.0
01_CustomDiffusion,easy,simple,33,2.0,2.0,2.0,3.0,4.0,5.0,4.0,2.0,2.0,4.0,1.0,4.0
01_CustomDiffusion,easy,simple,42,6.0,4.0,3.0,4.0,6.0,8.0,6.0,4.0,8.0,7.0,7.0,7.0
01_CustomDiffusion,easy,simple,49,4.0,2.0,1.0,1.0,2.0,7.0,4.0,1.0,5.0,3.0,4.0,7.0
01_CustomDiffusion,easy,simple,51,2.0,2.0,4.0,3.0,4.0,6.0,9.0,3.0,2.0,5.0,1.0,6.0
01_CustomDiffusion,easy,simple,6,6.0,6.0,5.0,7.0,9.0,7.0,8.0,5.0,10.0,5.0,7.0,8.0
01_CustomDiffusion,easy,simple,9,4.0,3.0,3.0,4.0,5.0,6.0,6.0,5.0,10.0,9.0,6.0,7.0
01_CustomDiffusion,hard,action+background,11,2.0,2.0,1.0,1.0,2.0,3.0,2.0,1.0,4.0,4.0,1.0,3.0
01_CustomDiffusion,hard,action+background,15,2.0,2.0,2.0,2.0,3.0,5.0,1.0,4.0,4.0,5.0,2.0,4.0
01_CustomDiffusion,hard,action+background,24,3.0,1.0,1.0,2.0,4.0,4.0,3.0,1.0,3.0,4.0,1.0,4.0
01_CustomDiffusion,hard,action+background,34,4.0,2.0,1.0,2.0,5.0,7.0,10.0,3.0,9.0,9.0,2.0,6.0
01_CustomDiffusion,hard,action+background,6,1.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,3.0,1.0,2.0
